episode,timestep,reward
26,400,1.1529
56,800,1.0645
88,1200,0.988
119,1600,1.0613
155,2000,0.9078
181,2400,1.1785
204,2800,1.3568
229,3200,1.2749
255,3600,1.2485
280,4000,1.2674
306,4400,1.2739
336,4800,1.0104
370,5200,0.9038
402,5600,0.9801
434,6000,0.9659
459,6400,1.3246
490,6800,0.972
511,7200,1.5443
537,7600,1.0924
561,8000,1.4255
594,8400,0.9533
618,8800,1.2949
645,9200,1.1767
669,9600,1.4118
691,10000,1.4358
716,10400,1.196
745,10800,1.1348
774,11200,1.1294
799,11600,1.2412
826,12000,1.1883
851,12400,1.2183
874,12800,1.4049
903,13200,1.115
928,13600,1.2355
958,14000,1.0758
981,14400,1.5178
1007,14800,1.1404
1036,15200,1.1239
1060,15600,1.3865
1086,16000,1.2482
1112,16400,1.2489
1136,16800,1.3017
1165,17200,1.0569
1188,17600,1.401
1206,18000,1.8072
1225,18400,1.6001
1251,18800,1.3423
1283,19200,0.9686
1307,19600,1.298
1332,20000,1.2803
1351,20400,1.6597
1372,20800,1.5419
1393,21200,1.6407
1413,21600,1.592
1441,22000,1.1514
1463,22400,1.3731
1493,22800,1.0928
1515,23200,1.3832
1533,23600,1.6989
1549,24000,2.1596
1573,24400,1.2907
1595,24800,1.6287
1619,25200,1.3249
1645,25600,1.2252
1671,26000,1.1892
1694,26400,1.2785
1715,26800,1.5869
1743,27200,1.1455
1766,27600,1.3729
1791,28000,1.2728
1819,28400,1.1484
1842,28800,1.407
1867,29200,1.3348
1891,29600,1.367
1916,30000,1.2419
1945,30400,1.0914
1974,30800,1.0386
2000,31200,1.1966
2026,31600,1.3006
2049,32000,1.3833
2080,32400,0.978
2108,32800,1.1574
2139,33200,0.9079
2168,33600,1.1778
2195,34000,1.1466
2227,34400,1.031
2259,34800,0.9544
2296,35200,0.7474
2322,35600,1.276
2354,36000,0.9915
2384,36400,0.9962
2410,36800,1.2965
2443,37200,0.9347
2471,37600,1.0998
2501,38000,0.9897
2531,38400,1.1454
2555,38800,1.3422
2585,39200,1.1263
2618,39600,0.8769
2646,40000,1.1712
2673,40400,1.196
2706,40800,0.9193
2734,41200,1.1678
2768,41600,0.8871
2796,42000,1.0984
2828,42400,1.0105
2855,42800,1.1824
2881,43200,1.1392
2908,43600,1.1971
2935,44000,1.2059
2959,44400,1.3324
2986,44800,1.1887
3014,45200,1.1729
3041,45600,1.1557
3071,46000,1.0429
3100,46400,1.1601
3126,46800,1.1918
3152,47200,1.1802
3178,47600,1.2468
3205,48000,1.1262
3237,48400,1.0939
3261,48800,1.3126
3293,49200,0.9624
3323,49600,1.0554
3355,50000,0.996
3386,50400,0.9958
3416,50800,1.0301
3443,51200,1.1282
3472,51600,1.0726
3506,52000,0.8868
3529,52400,1.4125
3557,52800,1.1073
3586,53200,1.0863
3617,53600,1.0119
3648,54000,1.0073
3673,54400,1.2855
3701,54800,1.1097
3729,55200,1.1526
3759,55600,1.0617
3793,56000,0.8611
3821,56400,1.129
3849,56800,1.0934
3882,57200,0.967
3907,57600,1.324
3937,58000,1.0419
3970,58400,0.933
4001,58800,0.9716
4033,59200,1.008
4065,59600,0.9927
4096,60000,1.025
4129,60400,0.9052
4161,60800,0.9919
4187,61200,1.1819
4216,61600,1.0816
4255,62000,0.7943
4287,62400,0.9481
4321,62800,0.8581
4353,63200,1.0431
4387,63600,0.8795
4421,64000,0.8979
4456,64400,0.8731
4493,64800,0.7669
4524,65200,1.0641
4555,65600,1.0137
4584,66000,1.0642
4620,66400,0.8509
4650,66800,1.0173
4678,67200,1.1173
4715,67600,0.8152
4739,68000,1.3118
4775,68400,0.8304
4814,68800,0.7908
4844,69200,1.0654
4876,69600,0.9142
4907,70000,1.0844
4940,70400,0.94
4971,70800,0.9768
5001,71200,1.0819
5038,71600,0.7941
5065,72000,1.2087
5096,72400,0.9878
5126,72800,0.9906
5154,73200,1.1578
5186,73600,0.9416
5212,74000,1.2192
5243,74400,0.9556
5278,74800,0.9142
5313,75200,0.8581
5348,75600,0.8971
5385,76000,0.7769
5415,76400,0.9569
5445,76800,1.1141
5484,77200,0.7875
5519,77600,0.8535
5551,78000,0.9381
5582,78400,1.0065
5613,78800,0.98
5650,79200,0.8442
5688,79600,0.7725
5719,80000,0.9603
5749,80400,1.0306
5781,80800,0.9389
5813,81200,0.9212
5844,81600,1.0096
5872,82000,1.0545
5908,82400,0.8768
5940,82800,0.8613
5970,83200,1.1427
6004,83600,0.9182
6041,84000,0.822
6080,84400,0.7907
6115,84800,0.83
6144,85200,1.0763
6178,85600,0.8786
6209,86000,0.9878
6239,86400,1.1053
6275,86800,0.8836
6311,87200,0.829
6337,87600,1.1036
6375,88000,0.8318
6407,88400,0.9546
6436,88800,1.0751
6475,89200,0.7567
6511,89600,0.8515
6545,90000,0.8998
6581,90400,0.8098
6611,90800,1.081
6642,91200,0.9609
6672,91600,1.0667
6712,92000,0.7814
6746,92400,0.8778
6788,92800,0.7108
6821,93200,0.9299
6853,93600,0.9318
6883,94000,1.0369
6912,94400,1.1138
6946,94800,0.8422
6980,95200,0.9189
7014,95600,0.9088
7046,96000,0.9631
7077,96400,1.0314
7111,96800,0.8924
7146,97200,0.8926
7181,97600,0.8821
7214,98000,0.884
7244,98400,1.0371
7282,98800,0.753
7314,99200,0.9611
