episode,timestep,reward
100,400,0.1834
183,800,0.2499
272,1200,0.2214
335,1600,0.3939
397,2000,0.3986
471,2400,0.3073
531,2800,0.4074
591,3200,0.4118
659,3600,0.3464
718,4000,0.4062
776,4400,0.4361
836,4800,0.3932
887,5200,0.5065
937,5600,0.4766
997,6000,0.4122
1056,6400,0.4186
1113,6800,0.4329
1174,7200,0.3998
1228,7600,0.4779
1280,8000,0.4948
1323,8400,0.6377
1386,8800,0.3751
1448,9200,0.3776
1506,9600,0.4317
1554,10000,0.5934
1612,10400,0.4188
1662,10800,0.5136
1727,11200,0.3906
1785,11600,0.4344
1844,12000,0.3968
1904,12400,0.4095
1965,12800,0.4025
2023,13200,0.4258
2089,13600,0.3396
2149,14000,0.4121
2209,14400,0.4191
2261,14800,0.4526
2320,15200,0.4305
2376,15600,0.4333
2428,16000,0.4749
2484,16400,0.465
2544,16800,0.4173
2601,17200,0.4416
2665,17600,0.3841
2724,18000,0.4223
2773,18400,0.5168
2827,18800,0.4637
2885,19200,0.4143
2944,19600,0.4099
2993,20000,0.5251
3045,20400,0.5026
3107,20800,0.3819
3166,21200,0.4353
3218,21600,0.5171
3277,22000,0.413
3353,22400,0.3029
3423,22800,0.3229
3490,23200,0.3505
3540,23600,0.5188
3595,24000,0.4598
3649,24400,0.4571
3699,24800,0.5326
3761,25200,0.3845
3818,25600,0.4879
3864,26000,0.5727
3921,26400,0.4489
3978,26800,0.4089
4024,27200,0.5951
4075,27600,0.4785
4127,28000,0.533
4191,28400,0.3152
4257,28800,0.4426
4309,29200,0.5405
4359,29600,0.5138
4421,30000,0.3756
4480,30400,0.418
4535,30800,0.4613
4595,31200,0.3978
4650,31600,0.4678
4701,32000,0.4619
4754,32400,0.4913
4806,32800,0.5124
4861,33200,0.4597
4913,33600,0.4787
4972,34000,0.4016
5028,34400,0.4243
5088,34800,0.4161
5141,35200,0.478
5200,35600,0.4017
5256,36000,0.4277
5317,36400,0.4203
5376,36800,0.4119
5433,37200,0.4277
5493,37600,0.3874
5551,38000,0.4559
5619,38400,0.3521
5668,38800,0.5212
5717,39200,0.5526
5783,39600,0.3681
5841,40000,0.4238
5901,40400,0.4055
5961,40800,0.3972
6013,41200,0.4695
6066,41600,0.4526
6119,42000,0.464
6180,42400,0.4364
6240,42800,0.3982
6306,43200,0.3527
6353,43600,0.5516
6413,44000,0.3945
6473,44400,0.4055
6530,44800,0.4606
6601,45200,0.365
6659,45600,0.4234
6710,46000,0.4923
6761,46400,0.5119
6807,46800,0.5744
6864,47200,0.4509
6924,47600,0.4197
6988,48000,0.3628
7050,48400,0.3986
7110,48800,0.3933
7162,49200,0.5029
7219,49600,0.4481
7273,50000,0.4877
7324,50400,0.5188
7382,50800,0.4172
7447,51200,0.367
7504,51600,0.4263
7568,52000,0.3855
7622,52400,0.4652
7666,52800,0.6651
7724,53200,0.4669
7784,53600,0.4042
7843,54000,0.397
7894,54400,0.4973
7940,54800,0.5971
7996,55200,0.4255
8043,55600,0.5786
8089,56000,0.5874
8140,56400,0.5183
8188,56800,0.5505
8238,57200,0.4901
8281,57600,0.6128
8323,58000,0.6488
8360,58400,0.7085
8398,58800,0.6721
8442,59200,0.5856
8503,59600,0.411
8554,60000,0.4853
8608,60400,0.463
8663,60800,0.4574
8707,61200,0.6044
8764,61600,0.4468
8826,62000,0.369
8878,62400,0.4873
8943,62800,0.3707
8999,63200,0.4607
9050,63600,0.4931
9102,64000,0.524
9156,64400,0.4836
9215,64800,0.3961
9275,65200,0.4045
9326,65600,0.5068
9382,66000,0.4542
9427,66400,0.6047
9489,66800,0.3772
9547,67200,0.4381
9610,67600,0.3709
9670,68000,0.4138
9724,68400,0.4491
9774,68800,0.5
9829,69200,0.4467
9896,69600,0.3649
9948,70000,0.4771
9998,70400,0.5051
10054,70800,0.4564
10110,71200,0.4302
10173,71600,0.3795
10227,72000,0.4921
10287,72400,0.3956
10339,72800,0.483
10388,73200,0.5305
10443,73600,0.4493
10487,74000,0.6861
10529,74400,0.6951
10586,74800,0.441
10637,75200,0.5839
10689,75600,0.5269
10715,76000,1.3612
10772,76400,0.4256
10827,76800,0.4242
10882,77200,0.4685
10930,77600,0.5571
10987,78000,0.4294
11044,78400,0.4425
11101,78800,0.4207
11161,79200,0.3892
11220,79600,0.4237
11274,80000,0.4605
11320,80400,0.5756
11388,80800,0.3441
11437,81200,0.5311
11497,81600,0.4163
11574,82000,0.284
11634,82400,0.3971
11697,82800,0.3829
11759,83200,0.4106
11811,83600,0.503
11871,84000,0.4103
11928,84400,0.4359
11988,84800,0.419
12050,85200,0.375
12109,85600,0.4088
12165,86000,0.4502
12227,86400,0.3845
12286,86800,0.412
12346,87200,0.3997
12402,87600,0.4428
12462,88000,0.4003
12515,88400,0.4607
12563,88800,0.5594
12613,89200,0.4985
12676,89600,0.3733
12727,90000,0.4832
12778,90400,0.502
12832,90800,0.4516
12875,91200,0.6084
12936,91600,0.4012
12988,92000,0.488
13049,92400,0.3947
13108,92800,0.4028
13171,93200,0.3761
13225,93600,0.4853
13274,94000,0.5319
13329,94400,0.5103
13391,94800,0.4068
13451,95200,0.391
13503,95600,0.4991
13559,96000,0.4212
13602,96400,0.6411
13646,96800,0.5966
13696,97200,0.4672
13752,97600,0.4879
13798,98000,0.5829
13858,98400,0.4062
13916,98800,0.4538
13982,99200,0.36
14037,99600,0.4819
14097,100000,0.418
14160,100400,0.4143
14207,100800,0.5685
14267,101200,0.4015
14314,101600,0.6012
14381,102000,0.3413
14445,102400,0.3845
14512,102800,0.3508
14562,103200,0.5713
14623,103600,0.3982
14673,104000,0.5134
14734,104400,0.3851
14798,104800,0.398
14851,105200,0.4895
14908,105600,0.4523
14961,106000,0.4834
15010,106400,0.5475
15080,106800,0.3323
15129,107200,0.4735
15193,107600,0.4079
15258,108000,0.37
15322,108400,0.3623
15381,108800,0.4192
15440,109200,0.4134
15491,109600,0.5041
15548,110000,0.409
15601,110400,0.5015
15665,110800,0.3858
15728,111200,0.3628
15788,111600,0.4008
15844,112000,0.4593
15897,112400,0.4602
15946,112800,0.5585
16007,113200,0.4007
16070,113600,0.3728
16125,114000,0.4467
16189,114400,0.387
16252,114800,0.3846
16317,115200,0.3627
16374,115600,0.4232
16428,116000,0.4692
16472,116400,0.6667
16528,116800,0.4517
16580,117200,0.5066
16641,117600,0.3919
16701,118000,0.4162
16754,118400,0.4608
16820,118800,0.3605
16871,119200,0.4797
16929,119600,0.4515
16977,120000,0.548
17036,120400,0.4268
17084,120800,0.5386
17138,121200,0.4499
17199,121600,0.4207
17256,122000,0.4152
17304,122400,0.5404
17357,122800,0.4778
17412,123200,0.4509
17468,123600,0.4363
17520,124000,0.4996
17578,124400,0.4169
17646,124800,0.3458
17706,125200,0.3998
17769,125600,0.3684
17830,126000,0.4316
17890,126400,0.4199
17947,126800,0.446
18007,127200,0.3852
18073,127600,0.3513
18121,128000,0.5473
18183,128400,0.3812
18229,128800,0.6113
18279,129200,0.5029
18335,129600,0.4424
18388,130000,0.5029
18445,130400,0.4111
18499,130800,0.4605
18559,131200,0.3953
18616,131600,0.4244
18669,132000,0.4691
18718,132400,0.5381
18776,132800,0.4316
18832,133200,0.4474
18894,133600,0.3904
18942,134000,0.5384
19003,134400,0.3996
19058,134800,0.4526
19110,135200,0.5059
19168,135600,0.4423
19224,136000,0.3674
19274,136400,0.6424
19322,136800,0.5343
19381,137200,0.4212
19432,137600,0.5089
19499,138000,0.3572
19562,138400,0.3727
19616,138800,0.49
19679,139200,0.3899
19745,139600,0.3407
19808,140000,0.3817
19878,140400,0.3304
19943,140800,0.3551
20016,141200,0.329
20085,141600,0.3291
20144,142000,0.4047
20210,142400,0.3427
20255,142800,0.7112
20316,143200,0.3634
20369,143600,0.5045
20423,144000,0.4961
20488,144400,0.4196
20539,144800,0.5128
20583,145200,0.6239
20633,145600,0.5389
20684,146000,0.5225
20745,146400,0.404
20803,146800,0.4128
20870,147200,0.3388
20929,147600,0.3944
20981,148000,0.5056
21035,148400,0.4916
21096,148800,0.3732
21161,149200,0.3683
21222,149600,0.3937
21288,150000,0.3466
21335,150400,0.5758
21389,150800,0.4581
21440,151200,0.499
21497,151600,0.4825
21559,152000,0.3843
21618,152400,0.4344
21681,152800,0.371
21748,153200,0.3575
21800,153600,0.4785
21854,154000,0.48
21906,154400,0.51
21965,154800,0.397
22017,155200,0.573
22089,155600,0.3075
22148,156000,0.4187
22193,156400,0.5786
22244,156800,0.5059
22299,157200,0.4543
22349,157600,0.5054
22396,158000,0.5296
22456,158400,0.4162
22507,158800,0.505
22567,159200,0.3847
22617,159600,0.5358
22682,160000,0.3415
22736,160400,0.4559
22790,160800,0.4181
22848,161200,0.464
22899,161600,0.4701
22956,162000,0.4488
23017,162400,0.3578
23075,162800,0.4466
23124,163200,0.5398
23182,163600,0.4239
23248,164000,0.3549
