episode,timestep,reward
28,400,1.0712
50,800,1.338
64,1200,2.2055
75,1600,2.7995
81,2000,5.4941
92,2400,3.3249
96,2800,6.413
101,3200,6.3269
106,3600,5.3282
112,4000,5.6833
117,4400,5.6105
123,4800,5.1394
127,5200,7.3238
131,5600,7.129
137,6000,7.7241
142,6400,4.6711
148,6800,7.9164
152,7200,6.7923
157,7600,7.6097
162,8000,5.8306
169,8400,5.6442
173,8800,8.2231
179,9200,8.5511
185,9600,6.1404
189,10000,10.3032
194,10400,16.185
198,10800,20.0498
202,11200,16.4263
212,11600,6.5354
217,12000,13.0853
222,12400,19.0939
232,12800,7.205
241,13200,8.4478
251,13600,7.8135
261,14000,6.7748
271,14400,8.0458
277,14800,15.136
287,15200,8.4088
296,15600,9.5744
301,16000,17.8938
307,16400,14.878
317,16800,9.3055
323,17200,13.5246
328,17600,18.3417
334,18000,12.9367
341,18400,14.7582
345,18800,19.8885
352,19200,11.2014
359,19600,12.73
365,20000,11.939
373,20400,10.1943
380,20800,12.1353
394,21200,5.5529
402,21600,8.7544
411,22000,7.7306
422,22400,6.3769
431,22800,8.1486
441,23200,6.2044
446,23600,13.7331
454,24000,10.2596
460,24400,10.6293
469,24800,8.1278
473,25200,20.7824
480,25600,14.1365
484,26000,18.8189
489,26400,15.9557
499,26800,6.2855
504,27200,16.2915
511,27600,7.7517
518,28000,11.3698
522,28400,20.7648
527,28800,19.0116
533,29200,16.3582
539,29600,16.8797
545,30000,12.4403
552,30400,16.3851
557,30800,21.8059
561,31200,23.8707
569,31600,9.6084
577,32000,13.8038
589,32400,5.1129
597,32800,13.5648
605,33200,12.1758
612,33600,11.9826
620,34000,8.8992
628,34400,10.1155
636,34800,7.6714
643,35200,9.6841
648,35600,18.1897
654,36000,10.757
664,36400,8.2339
670,36800,14.7556
677,37200,12.949
683,37600,12.4321
694,38000,7.0777
699,38400,16.2456
712,38800,7.5439
720,39200,13.3273
725,39600,20.2522
731,40000,20.2798
737,40400,19.7969
742,40800,23.1972
747,41200,21.0181
754,41600,15.7453
764,42000,10.3466
775,42400,9.1961
782,42800,13.7833
787,43200,22.5446
793,43600,20.7285
797,44000,20.3011
803,44400,18.0368
810,44800,17.1513
816,45200,16.1653
822,45600,20.1987
827,46000,17.5718
834,46400,15.5697
844,46800,10.5578
849,47200,22.3577
854,47600,22.7982
862,48000,11.8983
873,48400,8.1632
880,48800,13.9313
888,49200,11.4741
892,49600,24.8084
899,50000,17.164
904,50400,19.6258
911,50800,15.8299
918,51200,9.6712
926,51600,10.8926
933,52000,12.6279
941,52400,10.5669
946,52800,19.1119
955,53200,6.5965
962,53600,14.0385
972,54000,5.9704
977,54400,18.2561
984,54800,11.3252
994,55200,7.534
999,55600,13.1451
1005,56000,17.4585
1011,56400,10.8942
1017,56800,16.6066
1023,57200,16.5959
1027,57600,24.5556
1037,58000,8.4738
1042,58400,17.3071
1049,58800,9.78
1055,59200,15.1944
1067,59600,5.3205
1075,60000,11.3803
1092,60400,3.6245
1102,60800,5.8269
1111,61200,9.5032
1121,61600,5.4864
1128,62000,6.7626
1137,62400,9.5821
1142,62800,16.4103
1148,63200,11.2262
1156,63600,8.8738
1164,64000,9.1704
1169,64400,10.2279
1176,64800,11.3308
1183,65200,10.4271
1191,65600,7.8356
1196,66000,13.8851
1202,66400,18.9843
1206,66800,24.7673
1211,67200,18.6684
1218,67600,16.0951
1222,68000,22.9115
1226,68400,23.6065
1233,68800,11.1388
1238,69200,14.0507
1244,69600,15.8132
1249,70000,13.9042
1253,70400,24.436
1263,70800,9.9095
1268,71200,15.1151
1273,71600,18.5476
1278,72000,18.5341
1283,72400,16.7705
1290,72800,12.7882
1297,73200,14.3823
1303,73600,11.6998
1309,74000,17.2901
1315,74400,15.6958
1323,74800,10.383
1329,75200,11.5377
1334,75600,18.225
1340,76000,16.318
1347,76400,11.497
1353,76800,13.7727
1360,77200,9.5276
1367,77600,12.1409
1373,78000,7.7239
1383,78400,9.336
1388,78800,14.569
1392,79200,17.7591
1396,79600,21.1039
1401,80000,15.0516
1407,80400,14.6828
1412,80800,15.2347
1422,81200,8.8604
1429,81600,10.5288
1436,82000,14.4741
1443,82400,9.9426
1450,82800,13.5522
1457,83200,12.1773
1466,83600,12.6106
1473,84000,15.5286
1483,84400,9.095
1489,84800,16.7606
1493,85200,16.0469
1499,85600,11.1895
1504,86000,16.8995
1509,86400,14.7574
1514,86800,17.2417
1521,87200,8.4962
1533,87600,5.2503
1539,88000,13.6948
1546,88400,10.7947
1553,88800,11.7415
1563,89200,5.8864
1572,89600,7.1169
1577,90000,11.0446
1585,90400,7.4355
1591,90800,7.9803
1598,91200,8.522
1603,91600,10.4511
1608,92000,12.7399
1614,92400,8.2374
1619,92800,12.8639
1623,93200,11.7356
1629,93600,12.5085
1635,94000,8.7022
1640,94400,13.0884
1644,94800,18.9683
1648,95200,17.3632
1654,95600,13.1206
1659,96000,16.7717
1667,96400,7.295
1672,96800,14.4554
1679,97200,10.9414
1686,97600,11.4577
1694,98000,10.4921
1699,98400,11.4891
1706,98800,12.5354
1715,99200,9.2944
1721,99600,15.9709
1725,100000,17.2995
1734,100400,6.9714
1738,100800,15.647
1746,101200,8.3676
1754,101600,9.6176
1761,102000,7.512
1768,102400,10.3183
1774,102800,13.3747
1780,103200,11.1231
1785,103600,13.8813
1791,104000,17.1172
1796,104400,12.4113
1801,104800,16.1103
1809,105200,6.39
1818,105600,8.2949
1825,106000,11.5045
1831,106400,10.9331
1837,106800,11.3621
1842,107200,18.0518
1848,107600,12.5318
1855,108000,13.3056
1861,108400,12.4526
1867,108800,12.8945
1876,109200,8.2563
1882,109600,11.2807
1888,110000,12.192
1896,110400,7.9317
1903,110800,11.2608
1908,111200,18.0233
1912,111600,17.8104
1918,112000,13.7657
1925,112400,7.795
1931,112800,13.0999
1936,113200,12.6435
1942,113600,9.7847
1947,114000,15.6282
1953,114400,13.0466
1959,114800,13.1941
1963,115200,17.225
1970,115600,10.4272
1976,116000,10.2674
1984,116400,7.0663
1991,116800,7.4921
1996,117200,12.674
2005,117600,9.7954
2010,118000,15.9189
2016,118400,13.78
2023,118800,10.5507
2030,119200,7.0213
2036,119600,16.1446
2040,120000,20.1122
2044,120400,17.4097
2049,120800,13.002
2054,121200,15.4103
2058,121600,13.7301
2062,122000,17.3055
2069,122400,12.1489
2075,122800,10.2724
2084,123200,8.3912
2088,123600,20.9833
2094,124000,9.3535
2102,124400,12.5569
2106,124800,22.0025
2111,125200,15.3937
2117,125600,13.1022
2127,126000,7.0628
2132,126400,19.1772
2138,126800,12.9516
2146,127200,9.1282
2154,127600,8.3276
2160,128000,9.1102
2167,128400,8.3557
2175,128800,9.8998
2181,129200,8.9511
2190,129600,9.2503
2197,130000,8.1281
2203,130400,15.1956
2207,130800,16.8667
2221,131200,4.3684
2232,131600,6.8054
2237,132000,14.4013
2244,132400,16.4632
2254,132800,7.111
2261,133200,12.7119
2268,133600,11.1943
2277,134000,10.9562
2284,134400,10.6057
2291,134800,16.0464
2298,135200,12.4611
2302,135600,22.5867
2308,136000,14.8831
2315,136400,10.9013
2319,136800,17.5025
2327,137200,13.1141
2333,137600,16.9285
2343,138000,12.4663
2350,138400,13.3258
2357,138800,16.7013
2361,139200,22.2587
2366,139600,25.103
2371,140000,25.5381
