episode,timestep,reward
25,400,1.2001
50,800,1.1974
67,1200,1.7766
87,1600,1.4873
104,2000,1.7077
114,2400,2.5908
134,2800,1.8992
145,3200,2.8642
154,3600,2.9615
163,4000,3.7629
170,4400,4.1044
180,4800,3.4985
187,5200,4.3872
192,5600,5.6852
198,6000,5.7852
205,6400,4.5497
210,6800,5.1203
215,7200,6.3622
222,7600,4.9101
230,8000,3.7216
237,8400,3.9412
243,8800,5.1797
250,9200,4.9764
255,9600,5.0597
260,10000,6.6622
266,10400,5.4034
274,10800,3.7803
279,11200,4.8601
284,11600,6.8704
289,12000,5.884
298,12400,3.1085
306,12800,3.7402
317,13200,2.4474
325,13600,4.697
333,14000,3.7155
340,14400,4.1133
345,14800,6.3342
354,15200,3.4713
363,15600,2.973
369,16000,5.3844
376,16400,3.9942
384,16800,4.3917
390,17200,3.9032
396,17600,5.5522
402,18000,5.0959
410,18400,4.0555
419,18800,3.8592
424,19200,5.5717
430,19600,5.4533
436,20000,4.4112
442,20400,5.2485
453,20800,3.6337
458,21200,5.7439
464,21600,5.8554
470,22000,6.1356
478,22400,4.1016
483,22800,6.9287
487,23200,7.9029
492,23600,7.2121
496,24000,6.8316
501,24400,7.3779
506,24800,7.0025
511,25200,7.3224
516,25600,6.0262
521,26000,7.3493
525,26400,8.5734
530,26800,7.505
536,27200,5.6146
541,27600,7.32
547,28000,5.8791
551,28400,8.3691
555,28800,8.5242
560,29200,6.8016
564,29600,6.4966
570,30000,6.5884
574,30400,7.9429
579,30800,8.2591
586,31200,5.1781
590,31600,6.725
595,32000,7.3339
602,32400,5.5153
606,32800,7.294
611,33200,7.861
617,33600,5.8614
622,34000,6.2895
626,34400,7.641
631,34800,7.1765
635,35200,8.3742
639,35600,8.5644
644,36000,7.5061
648,36400,7.137
654,36800,6.317
659,37200,7.5171
663,37600,8.4671
667,38000,8.8055
672,38400,7.2286
677,38800,7.0709
682,39200,6.0232
687,39600,7.7556
691,40000,7.7135
695,40400,8.3451
701,40800,6.0775
705,41200,8.3363
709,41600,8.6071
715,42000,5.3694
720,42400,7.6011
724,42800,8.7117
729,43200,7.0684
735,43600,5.433
739,44000,8.6411
743,44400,8.5924
747,44800,8.9168
752,45200,7.2905
756,45600,8.9831
761,46000,7.4007
766,46400,6.664
770,46800,7.3928
777,47200,5.7024
783,47600,5.151
788,48000,7.2108
793,48400,7.2763
799,48800,7.0493
803,49200,8.5485
808,49600,7.5421
812,50000,9.5257
816,50400,9.1144
822,50800,5.6572
828,51200,7.8776
832,51600,10.0686
838,52000,6.2858
842,52400,8.7905
847,52800,6.9064
852,53200,8.591
857,53600,7.9326
861,54000,10.7555
865,54400,11.0084
870,54800,8.5343
874,55200,10.2597
878,55600,11.0706
883,56000,9.7567
887,56400,11.0066
891,56800,11.0205
897,57200,8.6028
902,57600,7.8706
906,58000,11.6827
911,58400,11.5678
916,58800,7.3302
920,59200,11.8686
925,59600,9.6659
929,60000,11.8218
933,60400,11.753
938,60800,10.8838
942,61200,11.9606
946,61600,11.9891
950,62000,10.7408
955,62400,9.9649
959,62800,10.1192
963,63200,11.9243
967,63600,12.0996
971,64000,12.2641
975,64400,12.2119
980,64800,9.6896
984,65200,11.985
988,65600,12.0389
993,66000,9.7261
998,66400,10.0918
1002,66800,11.9409
1007,67200,9.7976
1011,67600,11.9562
1015,68000,11.9393
1019,68400,11.9489
1023,68800,10.6665
1029,69200,8.6481
1035,69600,8.2744
1040,70000,9.8761
1044,70400,12.7648
1048,70800,12.0824
1053,71200,9.9615
1059,71600,7.5596
1063,72000,12.066
1068,72400,10.3717
1072,72800,11.9771
1076,73200,11.9456
1080,73600,9.1042
1084,74000,12.076
1090,74400,9.4681
1094,74800,11.529
1098,75200,12.0008
1103,75600,10.1566
1108,76000,9.751
1112,76400,12.3104
1116,76800,9.2405
1120,77200,12.0348
1125,77600,10.0069
1130,78000,10.0386
1136,78400,10.4839
1142,78800,7.6819
1149,79200,5.9398
1156,79600,7.5437
1163,80000,7.4114
1167,80400,9.315
1172,80800,11.2425
1176,81200,10.7758
1180,81600,12.0153
1185,82000,10.7721
1190,82400,9.8986
1194,82800,11.9053
1198,83200,11.9558
1203,83600,9.3269
1207,84000,12.2099
1213,84400,8.4628
1217,84800,10.7038
1221,85200,12.2837
1226,85600,9.9915
1231,86000,9.9481
1236,86400,10.1545
1240,86800,12.2327
1244,87200,12.075
1248,87600,12.01
1252,88000,10.5855
1256,88400,12.134
1260,88800,12.3757
1264,89200,11.9803
1269,89600,9.3804
1274,90000,9.8415
1278,90400,11.9713
1284,90800,8.3152
1289,91200,8.8216
1293,91600,12.3776
1299,92000,8.471
1303,92400,12.5027
1307,92800,12.517
1313,93200,8.4122
1317,93600,13.1839
1322,94000,10.4515
1326,94400,11.1728
1330,94800,13.0548
1334,95200,12.0536
1338,95600,12.4526
1344,96000,9.0872
1351,96400,7.9055
1355,96800,11.2378
1360,97200,11.1121
1364,97600,12.7524
1368,98000,12.6111
1373,98400,11.2153
1378,98800,8.2927
1382,99200,12.5971
1388,99600,9.538
1392,100000,12.5941
1397,100400,10.2156
1401,100800,12.5003
1406,101200,9.1204
1411,101600,11.3426
1418,102000,6.7031
1422,102400,13.0065
1427,102800,10.4644
1431,103200,12.6849
1435,103600,12.3948
1441,104000,9.7853
1446,104400,9.4532
1450,104800,10.5596
1456,105200,8.6362
1461,105600,11.1625
1465,106000,9.7383
1471,106400,9.5542
1476,106800,10.1016
1480,107200,11.3806
1484,107600,12.8012
1488,108000,12.754
1493,108400,9.2045
1497,108800,12.9866
1504,109200,7.3446
1509,109600,11.8225
1514,110000,8.9346
1518,110400,12.7821
1523,110800,11.2293
1527,111200,12.976
1532,111600,8.6775
1536,112000,12.7469
1540,112400,12.7591
1545,112800,10.3778
1550,113200,10.3744
1554,113600,12.7611
1558,114000,11.8172
1562,114400,12.8452
1566,114800,12.6974
1570,115200,12.7894
1575,115600,10.9595
1579,116000,13.0989
1583,116400,12.9278
1589,116800,9.0682
1593,117200,12.9978
1597,117600,10.7087
1601,118000,13.5158
1605,118400,13.435
1610,118800,11.5973
1614,119200,13.0533
1618,119600,13.0017
1623,120000,10.8166
1629,120400,9.0293
1634,120800,9.2539
1639,121200,10.6134
1644,121600,11.5216
1648,122000,13.3206
1652,122400,12.207
1657,122800,11.3809
1661,123200,10.1333
1665,123600,13.4154
1669,124000,13.7245
1673,124400,13.2766
1677,124800,13.6751
1681,125200,13.3002
1686,125600,11.3154
1690,126000,14.442
1697,126400,9.1752
1701,126800,12.6002
1710,127200,8.7327
1715,127600,11.4596
1722,128000,9.0605
1730,128400,6.6071
1738,128800,7.8556
1743,129200,8.6705
1748,129600,13.2619
1757,130000,8.0688
1762,130400,11.255
1769,130800,10.1434
1776,131200,7.9637
1780,131600,16.234
1784,132000,16.009
1790,132400,11.5696
1795,132800,13.03
1801,133200,11.5952
1807,133600,10.1351
1811,134000,14.54
1823,134400,4.607
1829,134800,12.6576
1833,135200,16.8332
1838,135600,11.8201
1842,136000,17.1005
1846,136400,16.8673
1851,136800,15.3565
1857,137200,8.8723
1862,137600,13.1234
1868,138000,12.9135
1876,138400,6.6299
1883,138800,8.6404
1892,139200,8.0842
1896,139600,16.6064
1900,140000,12.9285
1912,140400,5.249
1918,140800,9.7863
1926,141200,7.8766
1932,141600,7.9322
1942,142000,5.3181
1947,142400,12.7024
1956,142800,8.2081
1968,143200,2.9574
1975,143600,6.7944
1981,144000,11.6649
1994,144400,5.4107
2003,144800,6.3419
2012,145200,6.9728
2023,145600,5.0183
2031,146000,7.8319
2041,146400,4.6116
2054,146800,4.337
2063,147200,5.3691
2069,147600,12.9849
2078,148000,8.5405
2091,148400,4.9827
2108,148800,3.026
2123,149200,3.3827
2132,149600,6.8501
2141,150000,7.5638
2152,150400,5.2852
2162,150800,7.5752
2170,151200,7.9508
2177,151600,10.2038
2191,152000,3.0956
2200,152400,7.7211
2208,152800,6.9913
2215,153200,10.9929
2219,153600,15.1937
2226,154000,12.1173
2235,154400,6.3827
2244,154800,9.904
2251,155200,10.4535
2257,155600,11.1928
2262,156000,11.8628
2269,156400,11.1129
2275,156800,10.8419
2282,157200,10.6974
2288,157600,12.6491
2293,158000,17.1227
2297,158400,15.1925
2302,158800,15.8225
2310,159200,10.5351
2314,159600,20.5124
2318,160000,20.7472
2323,160400,16.1619
2328,160800,17.0157
2332,161200,19.5865
2336,161600,20.3359
2340,162000,15.7826
2344,162400,20.7786
2349,162800,19.027
2353,163200,16.8306
2358,163600,15.0345
2364,164000,13.7065
2370,164400,15.8193
2375,164800,15.9792
2379,165200,16.8467
2384,165600,17.832
2388,166000,20.4626
2393,166400,14.8119
2399,166800,12.4114
2403,167200,20.9186
2408,167600,13.3934
2412,168000,20.5788
2418,168400,16.2933
2422,168800,18.8223
2427,169200,19.3578
2432,169600,13.3396
2437,170000,17.3548
2443,170400,16.2848
2448,170800,18.1538
2453,171200,16.7561
2457,171600,17.7607
2463,172000,15.1953
2469,172400,13.134
2476,172800,12.5457
2482,173200,14.6165
2487,173600,18.5189
2492,174000,19.1314
2496,174400,17.353
2500,174800,22.18
2506,175200,15.5115
2511,175600,19.8744
2515,176000,18.1736
2519,176400,21.4187
2525,176800,17.5231
2531,177200,12.1789
2536,177600,17.784
2540,178000,20.6193
2545,178400,17.4618
2549,178800,21.499
2553,179200,17.4586
2557,179600,20.6227
2561,180000,20.1806
2567,180400,13.3524
2573,180800,14.6734
2577,181200,21.1076
2582,181600,17.1151
2587,182000,12.7979
2592,182400,15.9493
2599,182800,14.3687
2604,183200,15.514
2610,183600,12.1476
2616,184000,13.7643
2622,184400,14.6858
2627,184800,13.8197
2631,185200,20.2988
2637,185600,13.8708
2641,186000,21.6494
2646,186400,15.6542
2653,186800,11.9435
2659,187200,13.8883
2666,187600,12.5814
2671,188000,17.3771
2678,188400,11.9801
2683,188800,13.1353
2692,189200,10.337
2698,189600,11.3343
2705,190000,12.8742
2711,190400,14.6771
2717,190800,11.9189
2726,191200,8.7059
2732,191600,13.1508
2739,192000,9.7473
2743,192400,19.009
2748,192800,16.8758
2754,193200,15.7392
2758,193600,20.0703
2764,194000,12.4249
2768,194400,21.7073
2773,194800,18.1804
2779,195200,15.5854
2785,195600,12.3091
2790,196000,15.0442
2794,196400,20.9159
2802,196800,11.6643
2811,197200,7.4276
2819,197600,8.6076
2826,198000,10.6653
2831,198400,16.6902
2837,198800,13.4796
2843,199200,14.7899
2848,199600,14.6657
2855,200000,11.2761
