episode,timestep,reward
39,4000,-6456.5151
79,8000,-6895.3082
119,12000,-6642.6438
159,16000,-6465.6298
199,20000,-6471.1015
239,24000,-6558.46
279,28000,-6678.2307
319,32000,-6710.4183
359,36000,-6810.1917
399,40000,-6329.988
439,44000,-6749.7938
479,48000,-7272.1173
519,52000,-7188.2595
559,56000,-6423.104
599,60000,-7069.9832
639,64000,-7061.4827
679,68000,-6841.546
719,72000,-6990.6995
759,76000,-6678.8958
799,80000,-6831.6535
839,84000,-6750.132
879,88000,-6805.9782
919,92000,-6679.0765
959,96000,-6693.0418
999,100000,-7225.5818
1039,104000,-7013.2575
1079,108000,-6104.0652
1119,112000,-5370.3447
1159,116000,-5556.35
1199,120000,-5729.62
1239,124000,-5653.6237
1279,128000,-5636.3355
1319,132000,-5398.3285
1359,136000,-5413.6883
1399,140000,-5341.379
1439,144000,-5167.5205
1479,148000,-5094.8982
1519,152000,-5090.0443
1559,156000,-5008.7022
1599,160000,-4897.752
1639,164000,-4838.9177
1679,168000,-4752.2663
1719,172000,-4724.182
1759,176000,-4730.986
1799,180000,-4660.1625
1839,184000,-4735.3528
1879,188000,-4587.976
1919,192000,-4597.4283
1959,196000,-4487.6618
1999,200000,-4447.4083
2039,204000,-4406.1222
2079,208000,-4309.4825
2119,212000,-4261.514
2159,216000,-4288.9492
2199,220000,-4167.1437
2239,224000,-4149.6305
2279,228000,-4170.934
2319,232000,-4099.4847
2359,236000,-4055.6055
2399,240000,-3981.5792
2439,244000,-3996.6222
2479,248000,-3931.9772
2519,252000,-3983.7455
2559,256000,-3936.8682
2599,260000,-3898.4263
2639,264000,-3889.192
2679,268000,-3850.9477
2719,272000,-3828.7255
2759,276000,-3824.9635
2799,280000,-3804.7302
2839,284000,-3873.6363
2879,288000,-3760.8108
2919,292000,-3725.3108
2959,296000,-3706.9505
2999,300000,-3707.325
3039,304000,-3718.9355
3079,308000,-3668.3833
3119,312000,-3663.0388
3159,316000,-3623.327
3199,320000,-3615.0732
3239,324000,-3684.0393
3279,328000,-3625.89
3319,332000,-3657.2955
3359,336000,-3579.9597
3399,340000,-3585.3752
3439,344000,-3572.203
3479,348000,-3588.8558
3519,352000,-3569.0985
3559,356000,-3557.9853
3599,360000,-3514.3388
3639,364000,-3514.5327
3679,368000,-3497.2245
3719,372000,-3505.2032
3759,376000,-3451.2613
3799,380000,-3493.8918
3839,384000,-3462.7508
3879,388000,-3429.3468
3919,392000,-3451.387
3959,396000,-3430.1743
3999,400000,-3428.9708
4039,404000,-3438.2132
4079,408000,-3403.871
4119,412000,-3389.214
4159,416000,-3450.836
4199,420000,-3400.255
4239,424000,-3365.516
4279,428000,-3365.1695
4319,432000,-3341.4038
4359,436000,-3377.428
4399,440000,-3360.1015
4439,444000,-3316.9492
4479,448000,-3352.2015
4519,452000,-3290.6417
4559,456000,-3365.179
4599,460000,-3282.9375
4639,464000,-3281.108
4679,468000,-3270.3247
4719,472000,-3283.6933
4759,476000,-3239.0195
4799,480000,-3229.3605
4839,484000,-3236.3285
4879,488000,-3209.6468
4919,492000,-3225.5715
4959,496000,-3181.5242
4999,500000,-3164.4795
5039,504000,-3159.8448
5079,508000,-3163.3873
5119,512000,-3112.1103
5159,516000,-3147.3428
5199,520000,-3111.0678
5239,524000,-3111.3012
5279,528000,-3072.4333
5319,532000,-3093.6373
5359,536000,-3054.87
5399,540000,-3047.4213
5439,544000,-3040.409
5479,548000,-3038.1855
5519,552000,-3026.633
5559,556000,-2970.0947
5599,560000,-2948.7328
5639,564000,-2914.9745
5679,568000,-2955.066
5719,572000,-2924.2638
5759,576000,-2939.8288
5799,580000,-2885.3115
5839,584000,-2904.1218
5879,588000,-2876.0185
5919,592000,-2836.3298
5959,596000,-2861.1848
5999,600000,-2821.3818
6039,604000,-2811.6983
6079,608000,-2757.9628
6119,612000,-2738.5173
6159,616000,-2704.3753
6199,620000,-2738.8422
6239,624000,-2690.9252
6279,628000,-2716.1875
6319,632000,-2671.1685
6359,636000,-2666.7638
6399,640000,-2605.923
6439,644000,-2620.4872
6479,648000,-2605.2285
6519,652000,-2629.683
6559,656000,-2668.9975
6599,660000,-2601.4213
6639,664000,-2581.7485
6679,668000,-2534.168
6719,672000,-2538.7217
6759,676000,-2500.6892
6799,680000,-2518.3605
6839,684000,-2450.7198
6879,688000,-2478.5748
6919,692000,-2461.4285
6959,696000,-2466.5335
6999,700000,-2427.1463
7039,704000,-2425.7055
7079,708000,-2399.3595
7119,712000,-2401.0595
7159,716000,-2346.3385
7199,720000,-2336.8068
7239,724000,-2338.4103
7279,728000,-2391.7462
7319,732000,-2308.0545
7359,736000,-2354.7068
7399,740000,-2284.0315
7439,744000,-2300.5978
7479,748000,-2333.4085
7519,752000,-2252.1618
7559,756000,-2265.1277
7599,760000,-2249.1532
7639,764000,-2215.2935
7679,768000,-2234.9215
7719,772000,-2245.926
7759,776000,-2216.9792
7799,780000,-2225.3015
7839,784000,-2214.4043
7879,788000,-2205.6132
7919,792000,-2200.7772
7959,796000,-2204.4542
7999,800000,-2170.6035
8039,804000,-2185.2805
8079,808000,-2186.0935
8119,812000,-2203.6655
8159,816000,-2195.547
8199,820000,-2149.5657
8239,824000,-2171.1823
8279,828000,-2175.116
8319,832000,-2175.5635
8359,836000,-2155.8832
8399,840000,-2162.3555
8439,844000,-2140.781
8479,848000,-2161.0347
8519,852000,-2116.0805
8559,856000,-2169.2358
8599,860000,-2125.8293
8639,864000,-2135.526
8679,868000,-2126.0855
8719,872000,-2120.5342
8759,876000,-2130.3208
8799,880000,-2112.445
8839,884000,-2096.7722
8879,888000,-2117.9995
8919,892000,-2083.2312
8959,896000,-2089.723
8999,900000,-2092.0888
9039,904000,-2114.0382
9079,908000,-2106.2122
9119,912000,-2078.3165
9159,916000,-2090.2082
9199,920000,-2083.1937
9239,924000,-2085.4402
9279,928000,-2105.908
9319,932000,-2095.4933
9359,936000,-2079.6542
9399,940000,-2048.9428
9439,944000,-2076.5948
9479,948000,-2061.4062
9519,952000,-2053.5473
9559,956000,-2067.1723
9599,960000,-2059.5695
9639,964000,-2070.1977
9679,968000,-2049.8103
9719,972000,-2047.8297
9759,976000,-2047.6662
9799,980000,-2030.0905
9839,984000,-2031.6388
9879,988000,-2050.3123
9919,992000,-2037.5385
9959,996000,-2033.3608
9999,1000000,-2025.7655
10039,1004000,-2023.3623
10079,1008000,-2027.6555
10119,1012000,-2013.5005
10159,1016000,-2010.4235
10199,1020000,-2025.8795
10239,1024000,-1998.277
10279,1028000,-1999.3503
10319,1032000,-2002.9848
10359,1036000,-2013.9032
10399,1040000,-2001.8928
10439,1044000,-2002.449
10479,1048000,-1993.6733
10519,1052000,-1992.618
10559,1056000,-1985.8575
10599,1060000,-1998.6295
10639,1064000,-1985.309
10679,1068000,-1964.296
10719,1072000,-1988.6535
10759,1076000,-1962.7465
10799,1080000,-1970.224
10839,1084000,-1975.7168
10879,1088000,-1953.2235
10919,1092000,-1991.9835
10959,1096000,-1964.014
10999,1100000,-1973.1808
11039,1104000,-1974.5113
11079,1108000,-1970.6715
11119,1112000,-1964.979
11159,1116000,-1948.472
11199,1120000,-1955.8547
11239,1124000,-1949.9282
11279,1128000,-1948.6652
11319,1132000,-1949.7895
11359,1136000,-1942.2315
11399,1140000,-1964.3383
11439,1144000,-1950.763
11479,1148000,-1953.6888
11519,1152000,-1954.1062
11559,1156000,-1946.7692
11599,1160000,-1929.9148
11639,1164000,-1960.62
11679,1168000,-1936.2945
11719,1172000,-1929.7872
11759,1176000,-1943.7855
11799,1180000,-1936.9912
11839,1184000,-1944.1572
11879,1188000,-1945.469
11919,1192000,-1941.2038
11959,1196000,-1933.5238
11999,1200000,-1921.5838
12039,1204000,-1923.758
12079,1208000,-1935.654
12119,1212000,-1935.649
12159,1216000,-1938.3915
12199,1220000,-1931.4568
12239,1224000,-1921.0608
12279,1228000,-1932.8312
12319,1232000,-1933.3102
12359,1236000,-1903.051
12399,1240000,-1926.839
12439,1244000,-1918.9635
12479,1248000,-1929.2418
12519,1252000,-1922.0305
12559,1256000,-1931.036
12599,1260000,-1932.8835
12639,1264000,-1924.092
12679,1268000,-1917.4685
12719,1272000,-1910.3043
12759,1276000,-1916.3962
12799,1280000,-1915.857
12839,1284000,-1905.0457
12879,1288000,-1933.3978
12919,1292000,-1919.2017
12959,1296000,-1928.9903
12999,1300000,-1909.443
13039,1304000,-1921.5063
13079,1308000,-1934.9845
13119,1312000,-1906.5655
13159,1316000,-1908.496
13199,1320000,-1900.029
13239,1324000,-1898.5575
13279,1328000,-1899.671
13319,1332000,-1915.5603
13359,1336000,-1874.5472
13399,1340000,-1899.193
13439,1344000,-1884.8712
13479,1348000,-1885.487
13519,1352000,-1894.0818
13559,1356000,-1897.2752
13599,1360000,-1889.1308
13639,1364000,-1906.4807
13679,1368000,-1888.8875
13719,1372000,-1889.213
13759,1376000,-1882.2332
13799,1380000,-1894.208
13839,1384000,-1872.429
13879,1388000,-1902.5048
13919,1392000,-1898.757
13959,1396000,-1889.8125
13999,1400000,-1875.3708
14039,1404000,-1882.2448
14079,1408000,-1897.551
14119,1412000,-1893.2398
14159,1416000,-1872.8285
14199,1420000,-1880.0805
14239,1424000,-1872.52
14279,1428000,-1886.4765
14319,1432000,-1871.804
14359,1436000,-1874.0242
14399,1440000,-1860.968
14439,1444000,-1846.233
14479,1448000,-1861.7008
14519,1452000,-1887.031
14559,1456000,-1884.641
14599,1460000,-1856.8565
14639,1464000,-1865.0868
14679,1468000,-1876.1945
14719,1472000,-1869.3668
14759,1476000,-1867.5608
14799,1480000,-1854.2075
14839,1484000,-1872.3382
14879,1488000,-1879.0133
14919,1492000,-1872.2043
14959,1496000,-1840.23
14999,1500000,-1885.0632
15039,1504000,-1871.2613
15079,1508000,-1887.001
15119,1512000,-1837.9103
15159,1516000,-1892.306
15199,1520000,-1867.8483
15239,1524000,-1871.015
15279,1528000,-1862.9128
15319,1532000,-1857.1602
15359,1536000,-1878.2192
15399,1540000,-1847.5927
15439,1544000,-1852.1118
15479,1548000,-1853.088
15519,1552000,-1848.181
15559,1556000,-1854.16
15599,1560000,-1841.2968
15639,1564000,-1868.0633
15679,1568000,-1851.4532
15719,1572000,-1848.6193
15759,1576000,-1857.2792
15799,1580000,-1855.4752
15839,1584000,-1840.9235
15879,1588000,-1853.7535
15919,1592000,-1834.7068
15959,1596000,-1856.8965
15999,1600000,-1850.909
16039,1604000,-1864.744
16079,1608000,-1869.1598
16119,1612000,-1854.549
16159,1616000,-1856.0955
