episode,timestep,reward
39,4000,-6789.4923
79,8000,-7703.848
119,12000,-6865.0932
159,16000,-6625.2235
199,20000,-6826.8257
239,24000,-6972.0975
279,28000,-6983.1945
319,32000,-6999.7073
359,36000,-6747.531
399,40000,-6650.278
439,44000,-6585.4233
479,48000,-6423.2095
519,52000,-6667.2095
559,56000,-6545.9673
599,60000,-6640.6592
639,64000,-6608.5138
679,68000,-6522.374
719,72000,-6513.8863
759,76000,-6474.227
799,80000,-6713.075
839,84000,-6704.1915
879,88000,-6612.1342
919,92000,-6661.4758
959,96000,-6579.9762
999,100000,-6374.5528
1039,104000,-6473.065
1079,108000,-6204.5077
1119,112000,-6273.6028
1159,116000,-6355.2615
1199,120000,-6411.7378
1239,124000,-6517.7628
1279,128000,-6500.5913
1319,132000,-6530.8043
1359,136000,-6489.3005
1399,140000,-6460.0778
1439,144000,-6449.1708
1479,148000,-6336.4792
1519,152000,-6417.643
1559,156000,-6327.3465
1599,160000,-6336.3943
1639,164000,-6285.9635
1679,168000,-6270.356
1719,172000,-6077.161
1759,176000,-6089.396
1799,180000,-6115.0573
1839,184000,-6107.2392
1879,188000,-6054.6478
1919,192000,-5989.23
1959,196000,-5845.8117
1999,200000,-5770.7278
2039,204000,-5614.632
2079,208000,-5505.4993
2119,212000,-5443.6148
2159,216000,-5291.1882
2199,220000,-5016.8182
2239,224000,-4949.873
2279,228000,-4818.1937
2319,232000,-4597.646
2359,236000,-4414.155
2399,240000,-4322.3195
2439,244000,-4222.7225
2479,248000,-4119.1115
2519,252000,-4031.3213
2559,256000,-3903.4798
2599,260000,-3841.0892
2639,264000,-3738.1678
2679,268000,-3752.093
2719,272000,-3696.1818
2759,276000,-3570.4983
2799,280000,-3547.3865
2839,284000,-3501.926
2879,288000,-3444.2115
2919,292000,-3402.611
2959,296000,-3366.6853
2999,300000,-3279.7577
3039,304000,-3254.4843
3079,308000,-3195.3657
3119,312000,-3159.688
3159,316000,-3080.355
3199,320000,-3042.8588
3239,324000,-3047.6395
3279,328000,-2950.6765
3319,332000,-2984.357
3359,336000,-2919.3037
3399,340000,-2889.531
3439,344000,-2875.5495
3479,348000,-2823.2015
3519,352000,-2806.4915
3559,356000,-2733.94
3599,360000,-2691.9238
3639,364000,-2681.8042
3679,368000,-2655.4132
3719,372000,-2639.6055
3759,376000,-2594.7473
3799,380000,-2609.0833
3839,384000,-2533.281
3879,388000,-2537.3852
3919,392000,-2522.9202
3959,396000,-2510.3892
3999,400000,-2484.0482
4039,404000,-2466.7943
4079,408000,-2425.2835
4119,412000,-2446.9533
4159,416000,-2421.0175
4199,420000,-2402.2785
4239,424000,-2384.74
4279,428000,-2347.4372
4319,432000,-2362.142
4359,436000,-2335.5378
4399,440000,-2278.9883
4439,444000,-2312.0835
4479,448000,-2277.974
4519,452000,-2264.9297
4559,456000,-2276.5637
4599,460000,-2249.5888
4639,464000,-2261.82
4679,468000,-2221.8055
4719,472000,-2219.54
4759,476000,-2198.7068
4799,480000,-2204.3102
4839,484000,-2162.2488
4879,488000,-2176.6915
4919,492000,-2163.7062
4959,496000,-2155.9288
4999,500000,-2121.0357
5039,504000,-2141.2472
5079,508000,-2116.011
5119,512000,-2108.9712
5159,516000,-2107.805
5199,520000,-2098.1485
5239,524000,-2076.583
5279,528000,-2070.7188
5319,532000,-2088.6688
5359,536000,-2068.4752
5399,540000,-2057.1365
5439,544000,-2039.4835
5479,548000,-2033.064
5519,552000,-2040.8443
5559,556000,-2022.327
5599,560000,-1998.046
5639,564000,-2004.502
5679,568000,-1978.4915
5719,572000,-1973.2815
5759,576000,-1988.0497
5799,580000,-1948.2542
5839,584000,-1949.1682
5879,588000,-1949.1808
5919,592000,-1905.3858
5959,596000,-1911.5275
5999,600000,-1874.0113
6039,604000,-1871.521
6079,608000,-1922.2508
6119,612000,-1905.6668
6159,616000,-1890.279
6199,620000,-1911.8677
6239,624000,-1866.4637
6279,628000,-1868.8475
6319,632000,-1891.811
6359,636000,-1934.4745
6399,640000,-1857.743
6439,644000,-1842.454
6479,648000,-1844.1172
6519,652000,-1772.6292
6559,656000,-1816.21
6599,660000,-1760.0818
6639,664000,-1755.6868
6679,668000,-1767.762
6719,672000,-1775.3365
6759,676000,-1745.2558
6799,680000,-1757.894
6839,684000,-1744.8902
6879,688000,-1750.7332
6919,692000,-1715.2435
6959,696000,-1746.582
6999,700000,-1760.9115
7039,704000,-1728.9528
7079,708000,-1765.1755
7119,712000,-1712.7625
7159,716000,-1710.662
7199,720000,-1730.4805
7239,724000,-1710.7472
7279,728000,-1682.4648
7319,732000,-1686.8142
7359,736000,-1707.0772
7399,740000,-1704.8548
7439,744000,-1716.728
7479,748000,-1740.459
7519,752000,-1710.191
7559,756000,-1708.3005
7599,760000,-1706.405
7639,764000,-1689.833
7679,768000,-1719.4423
7719,772000,-1788.583
7759,776000,-1657.1985
7799,780000,-1664.8025
7839,784000,-1657.5688
7879,788000,-1681.673
7919,792000,-1683.9512
7959,796000,-1622.6697
7999,800000,-1687.5353
8039,804000,-1623.2795
8079,808000,-1638.868
8119,812000,-1597.258
8159,816000,-1668.4135
8199,820000,-1639.081
8239,824000,-1663.2535
8279,828000,-1648.0045
8319,832000,-1636.6338
8359,836000,-1667.7185
8399,840000,-1634.651
8439,844000,-1725.6267
8479,848000,-1687.3145
