episode,timestep,reward
39,4000,-2141.4023
79,8000,-2186.1688
119,12000,-2176.6288
159,16000,-2191.1093
199,20000,-2189.4693
239,24000,-2187.8145
279,28000,-2196.4592
319,32000,-2186.1425
359,36000,-2170.4952
399,40000,-2184.8005
439,44000,-2156.964
479,48000,-2159.1175
519,52000,-2177.2202
559,56000,-2184.189
599,60000,-2173.9785
639,64000,-2185.696
679,68000,-2187.422
719,72000,-2188.3395
759,76000,-2200.6052
799,80000,-2206.662
839,84000,-2198.9285
879,88000,-2212.6385
919,92000,-2214.2012
959,96000,-2210.518
999,100000,-2212.269
1039,104000,-2202.792
1079,108000,-2230.6483
1119,112000,-2230.9285
1159,116000,-2234.553
1199,120000,-2231.0472
1239,124000,-2205.4692
1279,128000,-2224.4608
1319,132000,-2222.5775
1359,136000,-2220.6603
1399,140000,-2217.5998
1439,144000,-2206.9042
1479,148000,-2219.398
1519,152000,-2219.977
1559,156000,-2208.6932
1599,160000,-2199.11
1639,164000,-2216.3345
1679,168000,-2195.7275
1719,172000,-2208.9112
1759,176000,-2196.7148
1799,180000,-2179.6018
1839,184000,-2185.97
1879,188000,-2190.0938
1919,192000,-2182.9055
1959,196000,-2212.575
1999,200000,-2217.4317
2039,204000,-2207.0677
2079,208000,-2201.1058
2119,212000,-2210.03
2159,216000,-2196.9463
2199,220000,-2186.4732
2239,224000,-2196.7148
2279,228000,-2180.514
2319,232000,-2182.2113
2359,236000,-2177.5078
2399,240000,-2177.2448
2439,244000,-2176.5475
2479,248000,-2176.4643
2519,252000,-2166.5628
2559,256000,-2181.9908
2599,260000,-2201.7215
2639,264000,-2189.474
2679,268000,-2170.9755
2719,272000,-2169.075
2759,276000,-2183.726
2799,280000,-2165.4742
2839,284000,-2187.9715
2879,288000,-2179.0172
2919,292000,-2161.0182
2959,296000,-2168.9047
2999,300000,-2165.532
3039,304000,-2168.5285
3079,308000,-2159.3415
3119,312000,-2168.1608
3159,316000,-2177.5103
3199,320000,-2185.0758
3239,324000,-2176.5248
3279,328000,-2173.1685
3319,332000,-2190.4757
3359,336000,-2219.6503
3399,340000,-2207.4892
3439,344000,-2199.8988
3479,348000,-2211.5325
3519,352000,-2201.5668
3559,356000,-2202.0843
3599,360000,-2196.885
3639,364000,-2199.742
3679,368000,-2219.324
3719,372000,-2224.5802
3759,376000,-2213.3832
3799,380000,-2191.889
3839,384000,-2220.2653
3879,388000,-2206.6353
3919,392000,-2193.6993
3959,396000,-2173.2148
3999,400000,-2168.8942
4039,404000,-2182.1583
4079,408000,-2170.8605
4119,412000,-2179.9363
4159,416000,-2177.2738
4199,420000,-2186.921
4239,424000,-2176.2058
4279,428000,-2178.0973
4319,432000,-2179.0505
4359,436000,-2183.782
4399,440000,-2189.763
4439,444000,-2191.9625
4479,448000,-2190.0078
4519,452000,-2208.7985
4559,456000,-2196.431
4599,460000,-2204.601
4639,464000,-2198.331
4679,468000,-2197.519
4719,472000,-2195.665
4759,476000,-2179.7755
4799,480000,-2201.7112
4839,484000,-2187.7942
4879,488000,-2177.4918
4919,492000,-2188.3555
4959,496000,-2178.8962
4999,500000,-2193.1755
