episode,timestep,reward
19,2000,-2380.8889
39,4000,-2373.828
59,6000,-2335.17
79,8000,-2358.4425
99,10000,-2358.743
119,12000,-2359.581
139,14000,-2374.202
159,16000,-2350.303
179,18000,-2351.3965
199,20000,-2369.7695
219,22000,-2333.9435
239,24000,-2349.8265
259,26000,-2369.537
279,28000,-2370.489
299,30000,-2325.0625
319,32000,-2364.1575
339,34000,-2315.2425
359,36000,-2347.791
379,38000,-2333.213
399,40000,-2345.041
419,42000,-2324.087
439,44000,-2327.946
459,46000,-2290.026
479,48000,-2297.604
499,50000,-2318.3805
519,52000,-2304.4445
539,54000,-2278.6925
559,56000,-2279.398
579,58000,-2275.2595
599,60000,-2292.0225
619,62000,-2292.0715
639,64000,-2304.709
659,66000,-2277.029
679,68000,-2258.1065
699,70000,-2263.7255
719,72000,-2265.5755
739,74000,-2246.222
759,76000,-2234.866
779,78000,-2254.3855
799,80000,-2239.978
819,82000,-2205.3095
839,84000,-2230.3575
859,86000,-2225.6055
879,88000,-2229.913
899,90000,-2244.0605
919,92000,-2229.112
939,94000,-2233.0065
959,96000,-2221.533
979,98000,-2199.2975
999,100000,-2218.0545
1019,102000,-2219.6245
1039,104000,-2212.3515
1059,106000,-2228.366
1079,108000,-2213.773
1099,110000,-2214.438
1119,112000,-2218.1
1139,114000,-2195.482
1159,116000,-2225.5825
1179,118000,-2213.362
1199,120000,-2211.5005
1219,122000,-2208.066
1239,124000,-2191.501
1259,126000,-2235.9985
1279,128000,-2211.5905
1299,130000,-2202.716
1319,132000,-2212.6015
1339,134000,-2216.1535
1359,136000,-2215.3695
1379,138000,-2210.9315
1399,140000,-2219.104
1419,142000,-2223.478
1439,144000,-2222.4635
1459,146000,-2221.686
1479,148000,-2211.6465
1499,150000,-2208.096
1519,152000,-2209.976
1539,154000,-2199.5775
1559,156000,-2213.538
1579,158000,-2196.544
1599,160000,-2191.9365
1619,162000,-2202.8655
1639,164000,-2195.785
1659,166000,-2197.826
1679,168000,-2198.4345
1699,170000,-2192.2155
1719,172000,-2183.3555
1739,174000,-2215.12
1759,176000,-2183.842
1779,178000,-2185.168
1799,180000,-2173.7945
1819,182000,-2172.845
1839,184000,-2176.132
1859,186000,-2188.4535
1879,188000,-2156.692
1899,190000,-2169.1765
1919,192000,-2150.046
1939,194000,-2169.566
1959,196000,-2159.7815
1979,198000,-2167.8865
1999,200000,-2188.2145
2019,202000,-2145.591
2039,204000,-2156.559
2059,206000,-2164.4925
2079,208000,-2162.0795
2099,210000,-2157.1775
2119,212000,-2145.232
2139,214000,-2147.627
2159,216000,-2154.1195
2179,218000,-2155.8565
2199,220000,-2134.7075
2219,222000,-2127.8285
2239,224000,-2168.0365
2259,226000,-2142.8975
2279,228000,-2140.589
2299,230000,-2149.4825
2319,232000,-2140.3645
2339,234000,-2143.029
2359,236000,-2126.4945
2379,238000,-2135.033
2399,240000,-2124.0925
2419,242000,-2118.4725
2439,244000,-2134.5425
2459,246000,-2102.6725
2479,248000,-2117.8615
2499,250000,-2123.2265
2519,252000,-2099.3605
2539,254000,-2113.7965
2559,256000,-2126.2285
2579,258000,-2124.4015
2599,260000,-2099.2445
2619,262000,-2131.927
2639,264000,-2128.738
2659,266000,-2120.8685
2679,268000,-2121.595
2699,270000,-2140.079
2719,272000,-2115.872
2739,274000,-2105.3305
2759,276000,-2133.0435
2779,278000,-2117.732
2799,280000,-2143.8175
2819,282000,-2076.888
2839,284000,-2106.048
2859,286000,-2105.761
2879,288000,-2102.9825
2899,290000,-2118.6665
2919,292000,-2122.7975
2939,294000,-2121.764
2959,296000,-2128.1515
2979,298000,-2113.3235
2999,300000,-2126.751
3019,302000,-2111.186
3039,304000,-2112.5405
3059,306000,-2110.0095
3079,308000,-2118.0815
3099,310000,-2100.6005
3119,312000,-2106.429
3139,314000,-2092.304
3159,316000,-2105.092
3179,318000,-2085.4645
3199,320000,-2107.1535
3219,322000,-2107.04
3239,324000,-2092.5935
3259,326000,-2096.9715
3279,328000,-2103.3905
3299,330000,-2105.1935
3319,332000,-2108.05
3339,334000,-2100.4505
3359,336000,-2087.976
3379,338000,-2093.996
3399,340000,-2103.395
3419,342000,-2075.1395
3439,344000,-2100.193
3459,346000,-2097.6485
3479,348000,-2103.601
3499,350000,-2109.8605
3519,352000,-2087.653
3539,354000,-2126.2165
3559,356000,-2117.9495
3579,358000,-2112.5835
3599,360000,-2117.1415
3619,362000,-2108.5045
3639,364000,-2103.0745
3659,366000,-2111.068
3679,368000,-2126.239
3699,370000,-2104.904
3719,372000,-2085.1685
3739,374000,-2093.3945
3759,376000,-2101.3165
3779,378000,-2103.0655
3799,380000,-2101.006
3819,382000,-2103.158
3839,384000,-2102.5225
3859,386000,-2107.4555
3879,388000,-2095.627
3899,390000,-2114.5905
3919,392000,-2112.6065
3939,394000,-2103.3065
3959,396000,-2111.277
3979,398000,-2106.088
3999,400000,-2106.7605
4019,402000,-2084.668
4039,404000,-2104.5425
4059,406000,-2105.0865
4079,408000,-2086.7805
4099,410000,-2116.368
4119,412000,-2100.076
4139,414000,-2115.2785
4159,416000,-2111.847
4179,418000,-2075.2525
4199,420000,-2089.003
4219,422000,-2101.154
4239,424000,-2099.7625
4259,426000,-2118.5795
4279,428000,-2108.951
4299,430000,-2099.8935
