episode,timestep,reward
39,4000,-8887.6192
79,8000,-9651.3532
119,12000,-10243.5492
159,16000,-10828.5863
199,20000,-10989.7415
239,24000,-11405.0033
279,28000,-11613.7945
319,32000,-11517.4545
359,36000,-11500.5203
399,40000,-11585.1322
439,44000,-10940.047
479,48000,-11757.9375
519,52000,-11769.6465
559,56000,-11641.5385
599,60000,-11456.6692
639,64000,-11457.2287
679,68000,-11553.7918
719,72000,-11381.5215
759,76000,-11115.4208
799,80000,-9352.6988
839,84000,-7435.2592
879,88000,-5983.9802
919,92000,-5187.4202
959,96000,-4739.7138
999,100000,-4436.7515
1039,104000,-4365.2995
1079,108000,-4418.8808
1119,112000,-5375.583
1159,116000,-6057.0585
1199,120000,-4505.4682
1239,124000,-4694.1665
1279,128000,-4432.1405
1319,132000,-4161.5565
1359,136000,-4176.8345
1399,140000,-4133.4003
1439,144000,-4091.214
1479,148000,-4127.5998
1519,152000,-4045.777
1559,156000,-4238.6363
1599,160000,-4366.2597
1639,164000,-4232.4828
1679,168000,-4327.1335
1719,172000,-4600.3375
1759,176000,-4205.338
1799,180000,-4141.619
1839,184000,-4199.0378
1879,188000,-4123.1885
1919,192000,-4217.8012
1959,196000,-4009.5862
1999,200000,-3962.2588
2039,204000,-3933.9357
2079,208000,-3838.7932
2119,212000,-3830.1922
2159,216000,-3842.4485
2199,220000,-4094.8832
2239,224000,-3950.8065
2279,228000,-3890.6572
2319,232000,-4052.7987
2359,236000,-4228.7528
2399,240000,-4201.8998
2439,244000,-4174.1128
2479,248000,-4078.9302
2519,252000,-3955.1265
2559,256000,-3922.7242
2599,260000,-3913.6877
2639,264000,-3965.2505
2679,268000,-4004.4987
2719,272000,-4038.7618
2759,276000,-3837.1645
2799,280000,-3766.4252
2839,284000,-3666.818
2879,288000,-4011.572
2919,292000,-3931.9535
2959,296000,-3784.3938
2999,300000,-3637.0212
3039,304000,-3675.9777
3079,308000,-3845.217
3119,312000,-3905.9955
3159,316000,-3782.977
3199,320000,-3865.4775
3239,324000,-3888.6205
3279,328000,-3783.726
3319,332000,-3871.8028
3359,336000,-4231.7768
3399,340000,-4165.2417
3439,344000,-3925.1233
3479,348000,-3800.4897
3519,352000,-3758.434
3559,356000,-3781.6677
3599,360000,-3792.381
3639,364000,-4084.7725
3679,368000,-3758.6235
3719,372000,-3856.5775
3759,376000,-3740.924
3799,380000,-3789.2595
3839,384000,-3775.8752
3879,388000,-3718.672
3919,392000,-3875.5628
3959,396000,-3827.0547
3999,400000,-3782.704
4039,404000,-3873.7055
4079,408000,-3748.017
4119,412000,-3728.1735
4159,416000,-3785.8708
4199,420000,-3771.2887
4239,424000,-4097.7065
4279,428000,-4001.0588
4319,432000,-4133.2337
4359,436000,-4675.8238
4399,440000,-4712.3282
4439,444000,-4245.8538
4479,448000,-4451.921
4519,452000,-4200.1897
4559,456000,-4312.6535
4599,460000,-4224.8605
4639,464000,-4235.5878
4679,468000,-4212.8758
4719,472000,-4220.9235
4759,476000,-3974.9235
4799,480000,-4067.538
4839,484000,-3995.437
4879,488000,-3867.89
4919,492000,-3957.6317
4959,496000,-3876.8225
4999,500000,-3917.997
5039,504000,-3950.4915
5079,508000,-3870.9812
5119,512000,-4077.2955
5159,516000,-4056.3905
5199,520000,-3822.5297
5239,524000,-3959.5403
5279,528000,-3827.239
5319,532000,-3783.7565
5359,536000,-3777.2078
5399,540000,-3784.3155
5439,544000,-3794.9585
5479,548000,-3748.078
5519,552000,-3818.1212
5559,556000,-3695.948
5599,560000,-3769.361
5639,564000,-3678.5322
5679,568000,-3677.3832
5719,572000,-3662.0315
5759,576000,-3780.9438
5799,580000,-3911.4705
5839,584000,-3673.9695
5879,588000,-3760.0218
5919,592000,-3721.9388
5959,596000,-3841.6305
5999,600000,-3865.3248
6039,604000,-3736.089
6079,608000,-3680.9305
6119,612000,-4413.81
6159,616000,-4353.8742
6199,620000,-4026.725
6239,624000,-4004.0842
6279,628000,-4011.691
6319,632000,-3989.9733
6359,636000,-4206.3892
6399,640000,-4019.1642
6439,644000,-4311.167
6479,648000,-4432.2068
6519,652000,-4692.8135
6559,656000,-4593.7015
6599,660000,-4523.3518
6639,664000,-4245.5275
6679,668000,-4573.1172
6719,672000,-4224.6685
6759,676000,-4529.44
6799,680000,-4397.2603
6839,684000,-4218.1992
6879,688000,-4192.0528
6919,692000,-3980.0382
6959,696000,-3945.485
6999,700000,-3841.8582
7039,704000,-3905.7008
7079,708000,-3972.53
7119,712000,-3805.1425
7159,716000,-3837.023
7199,720000,-3691.1232
7239,724000,-3726.431
7279,728000,-3766.9445
7319,732000,-3779.069
7359,736000,-3686.4722
7399,740000,-3681.923
7439,744000,-3771.174
7479,748000,-3826.2292
7519,752000,-3770.055
7559,756000,-3768.2328
7599,760000,-3735.0112
7639,764000,-3578.433
7679,768000,-3785.0415
7719,772000,-3842.595
7759,776000,-3540.704
7799,780000,-3943.8848
7839,784000,-3556.4635
7879,788000,-3672.8415
7919,792000,-3528.7805
7959,796000,-3593.9667
7999,800000,-3563.3313
8039,804000,-3560.194
8079,808000,-3613.471
8119,812000,-3573.2065
8159,816000,-3555.4188
8199,820000,-3591.6598
8239,824000,-3653.1375
8279,828000,-3569.3495
8319,832000,-3631.7175
8359,836000,-3595.6213
8399,840000,-3601.15
8439,844000,-3518.0145
8479,848000,-3586.3187
8519,852000,-3602.4323
8559,856000,-3493.266
8599,860000,-3818.96
8639,864000,-3571.591
8679,868000,-3637.5953
8719,872000,-3717.5005
8759,876000,-3584.5672
8799,880000,-3609.3595
8839,884000,-3553.4352
8879,888000,-3609.569
8919,892000,-3628.9468
