episode,timestep,reward
39,4000,-15848.8833
79,8000,-13814.5518
119,12000,-13149.6993
159,16000,-15180.9957
199,20000,-14855.8095
239,24000,-13209.944
279,28000,-10130.2422
319,32000,-9936.9468
359,36000,-9894.761
399,40000,-9981.281
439,44000,-10506.9695
479,48000,-15143.3785
519,52000,-18675.017
559,56000,-19763.6778
599,60000,-20142.3017
639,64000,-19681.312
679,68000,-19477.721
719,72000,-18313.5202
759,76000,-16537.609
799,80000,-15582.4945
839,84000,-14969.4468
879,88000,-14334.3608
919,92000,-14248.1195
959,96000,-13825.5078
999,100000,-13618.0933
1039,104000,-13196.2697
1079,108000,-12680.3663
1119,112000,-12188.344
1159,116000,-11959.5155
1199,120000,-11524.5985
1239,124000,-11396.181
1279,128000,-11049.441
1319,132000,-10820.0465
1359,136000,-10705.3678
1399,140000,-10396.735
1439,144000,-10428.7455
1479,148000,-10210.1115
1519,152000,-10211.521
1559,156000,-10009.4732
1599,160000,-9874.6268
1639,164000,-9950.193
1679,168000,-9745.0285
1719,172000,-9766.0692
1759,176000,-9624.3625
1799,180000,-9554.91
1839,184000,-9558.7102
1879,188000,-9377.049
1919,192000,-9323.7655
1959,196000,-9224.193
1999,200000,-9156.754
2039,204000,-9164.2868
2079,208000,-9157.4862
2119,212000,-9185.7257
2159,216000,-9171.3667
2199,220000,-9212.3325
2239,224000,-9100.1635
2279,228000,-9079.0365
2319,232000,-8829.9625
2359,236000,-8950.368
2399,240000,-8796.4995
2439,244000,-8684.324
2479,248000,-8771.1947
2519,252000,-8740.3063
2559,256000,-8737.87
2599,260000,-8591.8355
2639,264000,-8419.4
2679,268000,-8496.3495
2719,272000,-8460.965
2759,276000,-8516.368
2799,280000,-8488.172
2839,284000,-8386.3452
2879,288000,-8390.3462
2919,292000,-8413.2135
2959,296000,-8308.3232
2999,300000,-8320.4635
3039,304000,-8309.0645
3079,308000,-8252.5663
3119,312000,-8263.9235
3159,316000,-8207.6647
3199,320000,-8177.7892
3239,324000,-8186.472
3279,328000,-8166.4565
3319,332000,-8228.8762
3359,336000,-8108.257
3399,340000,-8009.2065
3439,344000,-8045.1925
3479,348000,-8116.1023
3519,352000,-8070.6455
3559,356000,-8131.4168
3599,360000,-8078.807
3639,364000,-8096.8142
3679,368000,-8063.8828
3719,372000,-8156.118
3759,376000,-8052.9945
3799,380000,-8006.3415
3839,384000,-8103.0257
3879,388000,-7987.9402
3919,392000,-8047.0538
3959,396000,-8069.193
3999,400000,-7980.6805
4039,404000,-7995.409
4079,408000,-7989.9052
4119,412000,-7957.8875
4159,416000,-7988.6175
4199,420000,-7918.2723
4239,424000,-7978.1623
4279,428000,-8249.2598
4319,432000,-8036.9818
4359,436000,-8021.055
4399,440000,-8141.0645
4439,444000,-7966.9822
4479,448000,-7974.9923
4519,452000,-7908.8905
4559,456000,-8023.972
4599,460000,-7914.9492
4639,464000,-7916.0045
4679,468000,-7925.4978
4719,472000,-7908.8702
4759,476000,-7952.6848
4799,480000,-7813.7368
4839,484000,-7761.7843
4879,488000,-7811.293
4919,492000,-7934.4613
4959,496000,-7934.4092
4999,500000,-7898.844
5039,504000,-7768.3103
5079,508000,-7742.5742
5119,512000,-7756.9095
5159,516000,-7708.1388
5199,520000,-7719.7502
5239,524000,-7699.265
5279,528000,-7713.7348
5319,532000,-7584.3037
5359,536000,-7643.7898
5399,540000,-7504.7728
5439,544000,-7564.1665
5479,548000,-7544.2358
5519,552000,-7551.1172
5559,556000,-7504.5827
5599,560000,-7552.4063
5639,564000,-7583.4205
5679,568000,-7565.4902
5719,572000,-7489.8207
5759,576000,-7525.8682
5799,580000,-7464.4797
5839,584000,-7528.508
5879,588000,-7528.873
5919,592000,-7414.8948
5959,596000,-7444.9535
5999,600000,-7408.8842
6039,604000,-7294.4385
6079,608000,-7402.6997
6119,612000,-7309.298
6159,616000,-7225.1945
6199,620000,-7195.225
6239,624000,-7199.7155
6279,628000,-7234.1462
6319,632000,-7225.3893
6359,636000,-7204.4222
6399,640000,-7191.5195
6439,644000,-7242.4575
6479,648000,-7153.6015
6519,652000,-7182.3213
6559,656000,-7134.9642
6599,660000,-7073.768
6639,664000,-7144.8082
6679,668000,-7113.8845
6719,672000,-7064.5125
6759,676000,-7013.42
6799,680000,-7078.1992
6839,684000,-7041.089
6879,688000,-7101.016
6919,692000,-7038.3028
6959,696000,-7066.7777
6999,700000,-6947.7652
7039,704000,-6989.7025
7079,708000,-7016.3945
7119,712000,-7071.5408
7159,716000,-7049.6198
7199,720000,-6944.0602
7239,724000,-6996.7482
7279,728000,-6987.9648
7319,732000,-6993.1798
7359,736000,-6931.0783
7399,740000,-6990.9965
7439,744000,-6891.7702
7479,748000,-6963.8745
7519,752000,-6917.922
7559,756000,-6917.7745
7599,760000,-6924.763
7639,764000,-6903.02
7679,768000,-6851.0492
7719,772000,-6910.0045
7759,776000,-6951.3525
7799,780000,-6944.296
7839,784000,-6888.6638
7879,788000,-6860.2285
7919,792000,-6879.8492
7959,796000,-6835.8572
7999,800000,-6828.9228
8039,804000,-6862.7788
8079,808000,-6805.241
8119,812000,-6777.3722
8159,816000,-6877.2833
8199,820000,-6883.954
8239,824000,-6795.0972
8279,828000,-6783.7002
8319,832000,-6758.9263
8359,836000,-6813.7495
8399,840000,-6741.1498
8439,844000,-6820.882
8479,848000,-6729.5642
8519,852000,-6730.428
8559,856000,-6636.9933
8599,860000,-6687.458
8639,864000,-6729.8262
8679,868000,-6563.898
8719,872000,-6653.7628
8759,876000,-6655.1278
8799,880000,-6695.1245
8839,884000,-6611.506
8879,888000,-6683.7362
8919,892000,-6679.1735
8959,896000,-6601.3398
8999,900000,-6617.768
9039,904000,-6693.2422
9079,908000,-6653.6475
9119,912000,-6620.927
9159,916000,-6630.4608
9199,920000,-6658.8812
9239,924000,-6646.711
9279,928000,-6562.2585
9319,932000,-6599.0768
9359,936000,-6601.7462
9399,940000,-6639.3935
9439,944000,-6626.9557
9479,948000,-6596.4485
9519,952000,-6549.9492
9559,956000,-6616.8628
9599,960000,-6520.922
9639,964000,-6545.7448
9679,968000,-6592.2595
9719,972000,-6466.761
9759,976000,-6512.7125
9799,980000,-6520.8068
9839,984000,-6570.0402
9879,988000,-6437.276
9919,992000,-6512.5327
9959,996000,-6429.9405
9999,1000000,-6548.9068
