episode,timestep,reward
39,4000,-17095.0644
79,8000,-18152.382
119,12000,-15578.0335
159,16000,-14907.5022
199,20000,-15411.9295
239,24000,-16319.8215
279,28000,-16600.1428
319,32000,-16267.0892
359,36000,-15815.0555
399,40000,-15991.8912
439,44000,-14994.8918
479,48000,-15200.091
519,52000,-14505.5142
559,56000,-13638.7455
599,60000,-13219.9522
639,64000,-12735.3192
679,68000,-12459.125
719,72000,-11869.5468
759,76000,-13124.916
799,80000,-13090.2585
839,84000,-15554.135
879,88000,-15177.662
919,92000,-15218.1265
959,96000,-15640.1272
999,100000,-13876.4585
1039,104000,-14694.7135
1079,108000,-13847.6475
1119,112000,-14832.4428
1159,116000,-14196.3585
1199,120000,-14740.955
1239,124000,-14417.2818
1279,128000,-14598.414
1319,132000,-15410.121
1359,136000,-14887.2418
1399,140000,-15580.927
1439,144000,-15432.9192
1479,148000,-15207.4482
1519,152000,-15197.119
1559,156000,-14759.1863
1599,160000,-13677.2135
1639,164000,-14879.022
1679,168000,-12845.3775
1719,172000,-11976.6482
1759,176000,-12440.3685
1799,180000,-13221.7173
1839,184000,-13618.4478
1879,188000,-15484.3977
1919,192000,-16109.852
1959,196000,-15605.9182
1999,200000,-15027.0718
2039,204000,-14476.8005
2079,208000,-14355.0093
2119,212000,-14862.344
2159,216000,-16876.9853
2199,220000,-16456.9195
2239,224000,-16152.0072
2279,228000,-17637.0627
2319,232000,-18315.19
2359,236000,-15042.2328
2399,240000,-14893.673
2439,244000,-12391.3623
2479,248000,-11311.5118
2519,252000,-11222.0217
2559,256000,-11261.1808
2599,260000,-11154.2487
2639,264000,-11173.1678
2679,268000,-11755.3258
2719,272000,-11910.8035
2759,276000,-11768.3885
2799,280000,-10411.7305
2839,284000,-9888.1725
2879,288000,-9824.1672
2919,292000,-9765.809
2959,296000,-10120.8407
2999,300000,-10042.429
3039,304000,-9982.8562
3079,308000,-9945.3465
3119,312000,-9926.8038
3159,316000,-9915.2108
3199,320000,-9890.0442
3239,324000,-9838.8377
3279,328000,-9804.0125
3319,332000,-9813.3195
3359,336000,-9786.783
3399,340000,-9736.6905
3439,344000,-9725.9325
3479,348000,-9743.654
3519,352000,-9670.226
3559,356000,-9652.0018
3599,360000,-9655.7585
3639,364000,-9645.5368
3679,368000,-9874.3468
3719,372000,-10108.0912
3759,376000,-10111.983
3799,380000,-10263.0653
3839,384000,-10206.099
3879,388000,-10185.123
3919,392000,-10192.8225
3959,396000,-11288.9735
3999,400000,-11388.8978
4039,404000,-11020.4035
