episode,timestep,reward
39,4000,-7433.9028
79,8000,-7889.6873
119,12000,-7065.149
159,16000,-7311.2723
199,20000,-7464.1312
239,24000,-8634.1645
279,28000,-8676.5718
319,32000,-7791.3357
359,36000,-7527.611
399,40000,-8047.0058
439,44000,-7760.0028
479,48000,-8423.9948
519,52000,-8856.525
559,56000,-8463.4845
599,60000,-8604.6745
639,64000,-8922.1915
679,68000,-8478.267
719,72000,-8496.256
759,76000,-8245.9038
799,80000,-8239.6705
839,84000,-8249.7815
879,88000,-8286.8402
919,92000,-8216.995
959,96000,-8664.8635
999,100000,-9124.74
1039,104000,-9339.156
1079,108000,-9090.2127
1119,112000,-8315.178
1159,116000,-8495.3168
1199,120000,-8645.6362
1239,124000,-8417.5143
1279,128000,-8229.8172
1319,132000,-8491.5092
1359,136000,-8621.618
1399,140000,-8915.0185
1439,144000,-8502.4038
1479,148000,-8003.867
1519,152000,-8068.762
1559,156000,-8073.4313
1599,160000,-7883.2335
1639,164000,-7855.7598
1679,168000,-7798.4482
1719,172000,-7760.8363
1759,176000,-7818.4048
1799,180000,-7619.373
1839,184000,-7685.6143
1879,188000,-7818.32
1919,192000,-7763.138
1959,196000,-7783.8702
1999,200000,-7687.6288
2039,204000,-7603.4155
2079,208000,-7557.2378
2119,212000,-7617.2368
2159,216000,-7543.016
2199,220000,-7482.2278
2239,224000,-7491.0508
2279,228000,-7330.4573
2319,232000,-7328.16
2359,236000,-7221.8765
2399,240000,-7135.162
2439,244000,-7039.6372
2479,248000,-6868.6968
2519,252000,-6824.1518
2559,256000,-6876.733
2599,260000,-6687.7122
2639,264000,-6703.8708
2679,268000,-6536.2055
2719,272000,-6493.5533
2759,276000,-6447.8508
2799,280000,-6482.3563
2839,284000,-6359.1038
2879,288000,-6281.1915
2919,292000,-6257.058
2959,296000,-6244.048
2999,300000,-6254.687
3039,304000,-6187.9498
3079,308000,-6133.908
3119,312000,-6076.6805
3159,316000,-6068.3942
3199,320000,-6077.6988
3239,324000,-6059.8305
3279,328000,-6081.5438
3319,332000,-6107.7675
3359,336000,-6032.1358
3399,340000,-6007.2077
3439,344000,-6062.325
3479,348000,-6017.1055
3519,352000,-5994.441
3559,356000,-5945.407
3599,360000,-5971.3463
3639,364000,-5967.6588
3679,368000,-5875.1425
3719,372000,-5900.018
3759,376000,-5849.8972
3799,380000,-5836.669
3839,384000,-5858.8568
3879,388000,-5824.72
3919,392000,-5863.3815
3959,396000,-5870.031
3999,400000,-5808.2635
4039,404000,-5779.6892
4079,408000,-5751.5908
4119,412000,-5788.246
4159,416000,-5691.052
4199,420000,-5758.7312
4239,424000,-5691.5168
4279,428000,-5694.7865
4319,432000,-5745.2075
4359,436000,-5717.386
4399,440000,-5681.824
4439,444000,-5680.89
4479,448000,-5654.2857
4519,452000,-5667.0253
4559,456000,-5635.889
4599,460000,-5714.9662
4639,464000,-5657.1535
4679,468000,-5727.5612
4719,472000,-5657.632
4759,476000,-5722.9405
4799,480000,-5625.3135
4839,484000,-5711.7883
4879,488000,-5760.383
4919,492000,-5703.1162
4959,496000,-5746.0627
4999,500000,-5886.303
5039,504000,-5843.446
5079,508000,-5879.0312
5119,512000,-5875.7913
5159,516000,-5734.4192
5199,520000,-5794.8718
5239,524000,-5877.809
5279,528000,-5734.616
5319,532000,-5824.1378
5359,536000,-5845.1962
5399,540000,-5858.7982
5439,544000,-5777.4745
5479,548000,-5844.1643
5519,552000,-5806.5305
5559,556000,-5708.7355
5599,560000,-5903.9005
5639,564000,-5920.421
5679,568000,-5757.8778
5719,572000,-5714.5123
5759,576000,-5721.799
5799,580000,-5768.7907
5839,584000,-5883.5133
5879,588000,-5724.0688
5919,592000,-5734.8963
5959,596000,-5769.1877
5999,600000,-5748.5737
6039,604000,-5828.5312
6079,608000,-5768.4945
6119,612000,-5727.536
6159,616000,-5770.9217
6199,620000,-5821.4993
6239,624000,-5836.3938
6279,628000,-5786.2017
6319,632000,-5776.8715
6359,636000,-5712.7158
6399,640000,-5798.639
6439,644000,-5885.8137
6479,648000,-5832.4813
6519,652000,-5853.4625
6559,656000,-5819.1175
6599,660000,-5812.513
6639,664000,-5818.2347
6679,668000,-5874.7427
6719,672000,-5777.6673
6759,676000,-5821.6305
6799,680000,-5848.2868
6839,684000,-5800.1517
6879,688000,-5905.9465
6919,692000,-5758.1655
6959,696000,-5901.2655
6999,700000,-5939.4932
7039,704000,-5905.3365
7079,708000,-5891.6888
7119,712000,-5991.9293
7159,716000,-5906.7565
7199,720000,-5901.4728
7239,724000,-5874.5722
7279,728000,-5881.1558
7319,732000,-5900.7935
7359,736000,-5914.6705
7399,740000,-5944.894
7439,744000,-5855.0817
7479,748000,-5905.6688
7519,752000,-6009.6495
7559,756000,-5906.5495
7599,760000,-5977.0568
7639,764000,-5938.1472
7679,768000,-5953.5245
7719,772000,-5918.8495
7759,776000,-5882.385
7799,780000,-5908.277
7839,784000,-5918.9582
7879,788000,-5924.083
7919,792000,-5981.1073
7959,796000,-6064.7687
7999,800000,-5965.961
8039,804000,-5968.479
8079,808000,-5955.609
8119,812000,-6027.3385
8159,816000,-6049.7923
8199,820000,-6013.091
8239,824000,-6031.2362
8279,828000,-6043.7205
8319,832000,-6082.5775
8359,836000,-6021.5907
8399,840000,-6034.9183
8439,844000,-6037.3643
8479,848000,-6032.7398
8519,852000,-6047.8725
8559,856000,-6020.257
8599,860000,-6000.8415
8639,864000,-6015.0475
8679,868000,-6046.7858
8719,872000,-6066.921
8759,876000,-5997.5552
8799,880000,-6044.6652
8839,884000,-6049.328
8879,888000,-6020.6872
8919,892000,-6054.2335
8959,896000,-6072.5633
8999,900000,-6088.1935
9039,904000,-6033.003
9079,908000,-6030.9055
9119,912000,-6036.0325
9159,916000,-6131.4985
9199,920000,-6058.5567
9239,924000,-6068.5105
9279,928000,-6089.8158
9319,932000,-6107.559
9359,936000,-6050.873
9399,940000,-6058.496
9439,944000,-6090.358
9479,948000,-6079.3228
9519,952000,-6010.2927
9559,956000,-6072.185
9599,960000,-6008.5012
9639,964000,-6089.3682
9679,968000,-6102.225
9719,972000,-6102.9687
9759,976000,-6044.6497
9799,980000,-6018.5022
9839,984000,-6089.0628
9879,988000,-6083.835
9919,992000,-6065.745
9959,996000,-6048.1202
9999,1000000,-6118.9408
10039,1004000,-6042.1632
10079,1008000,-6099.2525
10119,1012000,-6123.5448
10159,1016000,-6070.2635
10199,1020000,-6095.8128
10239,1024000,-6153.6568
10279,1028000,-6093.2565
10319,1032000,-6149.11
10359,1036000,-6127.7553
10399,1040000,-6115.14
10439,1044000,-6106.8245
10479,1048000,-6064.4465
10519,1052000,-6092.626
10559,1056000,-6087.2715
10599,1060000,-6085.182
10639,1064000,-6068.8085
10679,1068000,-6097.0757
10719,1072000,-6082.0262
10759,1076000,-6081.0728
10799,1080000,-6058.4858
10839,1084000,-6092.2147
10879,1088000,-6056.0752
10919,1092000,-6060.0943
10959,1096000,-6067.4195
10999,1100000,-6092.9458
11039,1104000,-6055.3122
11079,1108000,-6060.0617
11119,1112000,-6053.9073
11159,1116000,-6079.0285
11199,1120000,-6097.1148
11239,1124000,-6067.3765
11279,1128000,-6027.1618
11319,1132000,-6054.313
11359,1136000,-6028.228
11399,1140000,-6058.905
11439,1144000,-6076.6817
11479,1148000,-6095.5892
11519,1152000,-6061.0532
11559,1156000,-6033.943
11599,1160000,-6060.777
11639,1164000,-6115.3188
11679,1168000,-6019.7508
11719,1172000,-6033.6885
11759,1176000,-6074.1102
11799,1180000,-6055.9302
11839,1184000,-6067.8978
11879,1188000,-6057.4813
11919,1192000,-6128.9558
11959,1196000,-6049.5833
11999,1200000,-6092.8842
12039,1204000,-6115.0143
12079,1208000,-6072.7785
12119,1212000,-6066.8275
12159,1216000,-6095.1755
12199,1220000,-6055.7138
12239,1224000,-6118.0587
12279,1228000,-6056.8635
12319,1232000,-6116.8395
12359,1236000,-6049.3358
12399,1240000,-6069.6835
12439,1244000,-6091.4955
12479,1248000,-6073.812
12519,1252000,-6066.8952
12559,1256000,-6103.1517
12599,1260000,-6100.6862
12639,1264000,-6086.201
12679,1268000,-6022.4873
12719,1272000,-6061.368
12759,1276000,-6024.9355
12799,1280000,-6023.9992
12839,1284000,-6061.788
12879,1288000,-6029.9155
12919,1292000,-6050.9418
12959,1296000,-6023.3932
12999,1300000,-6026.5793
13039,1304000,-6023.4177
13079,1308000,-6033.5465
13119,1312000,-6016.5452
13159,1316000,-6100.1105
13199,1320000,-6030.1543
13239,1324000,-6031.3607
13279,1328000,-5963.7837
13319,1332000,-5988.8005
13359,1336000,-6021.0417
13399,1340000,-5988.428
13439,1344000,-5993.38
13479,1348000,-6039.2862
13519,1352000,-5999.126
13559,1356000,-5991.0118
13599,1360000,-5980.744
13639,1364000,-6015.9245
13679,1368000,-6010.681
13719,1372000,-5995.7868
13759,1376000,-6032.1388
13799,1380000,-6001.389
13839,1384000,-6013.5085
13879,1388000,-6010.231
13919,1392000,-5987.891
13959,1396000,-6036.5868
13999,1400000,-6020.3087
14039,1404000,-6033.8132
14079,1408000,-6007.712
14119,1412000,-6017.0903
14159,1416000,-6035.634
14199,1420000,-6059.916
14239,1424000,-6065.0122
14279,1428000,-6048.3243
14319,1432000,-6014.5245
14359,1436000,-6005.8708
14399,1440000,-6055.2047
14439,1444000,-6054.8272
14479,1448000,-6019.4872
14519,1452000,-6036.0057
14559,1456000,-5979.0925
14599,1460000,-6003.204
14639,1464000,-6028.658
14679,1468000,-5976.3153
14719,1472000,-6040.0598
14759,1476000,-6025.5345
14799,1480000,-6022.593
14839,1484000,-6060.1662
14879,1488000,-6034.1468
14919,1492000,-6052.3425
14959,1496000,-6054.6693
14999,1500000,-6093.9148
15039,1504000,-6158.3212
15079,1508000,-6033.2505
15119,1512000,-6107.2303
15159,1516000,-6087.3777
15199,1520000,-6054.195
15239,1524000,-6109.3405
15279,1528000,-6034.6065
15319,1532000,-6057.581
15359,1536000,-6093.6555
15399,1540000,-6045.967
15439,1544000,-6069.2838
15479,1548000,-6022.8555
15519,1552000,-6060.471
15559,1556000,-6069.0715
15599,1560000,-6228.663
15639,1564000,-6107.1272
15679,1568000,-6140.4762
15719,1572000,-6114.9832
15759,1576000,-6161.7413
15799,1580000,-6080.6695
15839,1584000,-6133.657
15879,1588000,-6068.5868
15919,1592000,-6056.4565
15959,1596000,-6014.6092
15999,1600000,-6056.4568
16039,1604000,-6105.4475
16079,1608000,-6059.7077
16119,1612000,-6014.5002
16159,1616000,-6121.4445
16199,1620000,-6064.0325
16239,1624000,-6062.3288
16279,1628000,-6056.1825
16319,1632000,-6109.532
16359,1636000,-6068.3757
16399,1640000,-6069.4452
16439,1644000,-6072.6472
16479,1648000,-6080.4097
16519,1652000,-6075.9657
16559,1656000,-6062.238
16599,1660000,-6128.2518
16639,1664000,-6008.815
16679,1668000,-6026.5467
16719,1672000,-6167.1987
16759,1676000,-6100.8052
16799,1680000,-6108.556
16839,1684000,-6030.968
16879,1688000,-6077.6133
16919,1692000,-6198.8283
16959,1696000,-6070.488
16999,1700000,-6000.054
17039,1704000,-6031.6033
17079,1708000,-6049.4718
17119,1712000,-6052.36
17159,1716000,-6084.8877
17199,1720000,-6067.1765
17239,1724000,-6050.2017
17279,1728000,-6008.1605
17319,1732000,-6063.89
17359,1736000,-6049.3593
17399,1740000,-5990.3213
17439,1744000,-6038.668
17479,1748000,-6027.2298
17519,1752000,-6011.0715
17559,1756000,-6025.1677
17599,1760000,-6013.1553
17639,1764000,-6045.1533
17679,1768000,-6029.1255
17719,1772000,-6024.6973
17759,1776000,-6001.3642
17799,1780000,-6032.8868
17839,1784000,-6060.6677
17879,1788000,-6038.4082
17919,1792000,-6061.7845
17959,1796000,-6053.755
17999,1800000,-6061.85
18039,1804000,-6005.8365
18079,1808000,-5994.923
18119,1812000,-6010.7375
18159,1816000,-6000.361
18199,1820000,-6009.955
18239,1824000,-6053.7082
18279,1828000,-6065.5748
18319,1832000,-6018.7935
18359,1836000,-6033.751
18399,1840000,-6015.2993
18439,1844000,-6069.984
18479,1848000,-6069.5
18519,1852000,-6045.629
18559,1856000,-6059.5925
18599,1860000,-6058.8925
18639,1864000,-6061.985
18679,1868000,-6018.519
18719,1872000,-6025.2473
18759,1876000,-5996.5238
18799,1880000,-6024.1903
18839,1884000,-6018.0225
18879,1888000,-6004.6112
18919,1892000,-6058.7642
18959,1896000,-5990.2608
18999,1900000,-6025.2855
19039,1904000,-6055.6815
19079,1908000,-5987.1772
19119,1912000,-6028.7725
19159,1916000,-6010.0325
19199,1920000,-6017.3378
19239,1924000,-5996.7105
19279,1928000,-6049.4682
19319,1932000,-6033.9412
19359,1936000,-5991.8307
19399,1940000,-6061.935
19439,1944000,-5976.589
19479,1948000,-5976.0153
19519,1952000,-6028.6405
19559,1956000,-6070.9148
19599,1960000,-6024.4503
19639,1964000,-6003.3957
19679,1968000,-6004.1278
19719,1972000,-6022.589
19759,1976000,-6029.9913
19799,1980000,-6077.371
19839,1984000,-6081.8518
19879,1988000,-5950.646
19919,1992000,-6068.464
19959,1996000,-6006.078
19999,2000000,-6047.1312
