episode,timestep,reward
39,4000,-6845.5562
79,8000,-7830.9915
119,12000,-7161.0345
159,16000,-7859.316
199,20000,-7074.9715
239,24000,-6923.675
279,28000,-6213.992
319,32000,-7159.7718
359,36000,-8459.1163
399,40000,-8376.8442
439,44000,-8276.0177
479,48000,-9254.8985
519,52000,-9148.7315
559,56000,-9526.622
599,60000,-9133.8105
639,64000,-8865.008
679,68000,-7414.9
719,72000,-8448.5105
759,76000,-8538.3202
799,80000,-8719.9822
839,84000,-7333.112
879,88000,-7684.6625
919,92000,-7555.4953
959,96000,-7188.1588
999,100000,-7444.2892
1039,104000,-7823.8028
1079,108000,-7596.78
1119,112000,-7476.7123
1159,116000,-7403.363
1199,120000,-7664.9142
1239,124000,-7776.7118
1279,128000,-7478.444
1319,132000,-6959.0182
1359,136000,-7237.5755
1399,140000,-6815.751
1439,144000,-6752.33
1479,148000,-6538.4025
1519,152000,-6482.626
1559,156000,-6301.297
1599,160000,-6255.892
1639,164000,-6168.543
1679,168000,-6098.1388
1719,172000,-6039.3587
1759,176000,-6019.6497
1799,180000,-5921.2848
1839,184000,-5885.9895
1879,188000,-5779.9525
1919,192000,-5731.055
1959,196000,-5658.4753
1999,200000,-5688.2925
2039,204000,-5633.8165
2079,208000,-5575.2718
2119,212000,-5597.55
2159,216000,-5555.689
2199,220000,-5497.2537
2239,224000,-5500.5915
2279,228000,-5433.4793
2319,232000,-5473.4605
2359,236000,-5406.411
2399,240000,-5408.6013
2439,244000,-5330.6205
2479,248000,-5340.108
2519,252000,-5325.7963
2559,256000,-5336.7195
2599,260000,-5284.3162
2639,264000,-5273.1822
2679,268000,-5211.978
2719,272000,-5233.6498
2759,276000,-5275.251
2799,280000,-5244.665
2839,284000,-5203.71
2879,288000,-5202.0253
2919,292000,-5207.0812
2959,296000,-5198.8155
2999,300000,-5147.853
3039,304000,-5131.96
3079,308000,-5148.671
3119,312000,-5109.4825
3159,316000,-5120.1813
3199,320000,-5087.555
3239,324000,-5081.593
3279,328000,-5066.7225
3319,332000,-5063.7055
3359,336000,-5076.897
3399,340000,-5048.1482
3439,344000,-4999.8052
3479,348000,-4981.806
3519,352000,-5001.3548
3559,356000,-4973.095
3599,360000,-4942.4948
3639,364000,-4960.1602
3679,368000,-4917.297
3719,372000,-4943.099
3759,376000,-4892.09
3799,380000,-4934.4285
3839,384000,-4860.7927
3879,388000,-4793.6025
3919,392000,-4816.6218
3959,396000,-4825.3118
3999,400000,-4815.927
4039,404000,-4818.234
4079,408000,-4770.5215
4119,412000,-4804.1093
4159,416000,-4752.9312
4199,420000,-4709.2978
4239,424000,-4696.9485
4279,428000,-4697.1655
4319,432000,-4721.47
4359,436000,-4652.175
4399,440000,-4655.5768
4439,444000,-4639.6212
4479,448000,-4603.1598
4519,452000,-4626.946
4559,456000,-4640.8312
4599,460000,-4565.5085
4639,464000,-4558.3912
4679,468000,-4594.882
4719,472000,-4541.931
4759,476000,-4531.6777
4799,480000,-4543.1648
4839,484000,-4579.3932
4879,488000,-4479.677
4919,492000,-4549.7388
4959,496000,-4534.4787
4999,500000,-4478.3532
5039,504000,-4443.8555
5079,508000,-4464.5202
5119,512000,-4448.7885
5159,516000,-4438.424
5199,520000,-4411.4088
5239,524000,-4371.0003
5279,528000,-4415.6373
5319,532000,-4341.3485
5359,536000,-4372.7545
