episode,timestep,reward
39,4000,-5729.8874
79,8000,-5779.5862
119,12000,-4867.0707
159,16000,-4905.4733
199,20000,-5209.3285
239,24000,-4881.7493
279,28000,-5309.9795
319,32000,-5296.7758
359,36000,-5567.781
399,40000,-5122.6848
439,44000,-5142.51
479,48000,-4266.1455
519,52000,-4631.2858
559,56000,-4856.595
599,60000,-4985.0858
639,64000,-4920.225
679,68000,-4918.1705
719,72000,-4715.935
759,76000,-4894.961
799,80000,-4656.8895
839,84000,-4640.9143
879,88000,-4673.4452
919,92000,-4632.772
959,96000,-4693.2122
999,100000,-4721.731
1039,104000,-4569.2595
1079,108000,-4399.71
1119,112000,-4195.531
1159,116000,-4282.0925
1199,120000,-4140.097
1239,124000,-4113.3028
1279,128000,-3927.6625
1319,132000,-3947.1538
1359,136000,-3684.798
1399,140000,-3511.376
1439,144000,-3552.1642
1479,148000,-3466.3785
1519,152000,-3445.0438
1559,156000,-3409.6802
1599,160000,-3246.394
1639,164000,-3186.477
1679,168000,-3044.0485
1719,172000,-3097.3907
1759,176000,-3041.8065
1799,180000,-2992.9145
1839,184000,-2933.7997
1879,188000,-2913.9253
1919,192000,-2821.0812
1959,196000,-2760.2305
1999,200000,-2766.4432
2039,204000,-2700.01
2079,208000,-2691.343
2119,212000,-2623.6265
2159,216000,-2571.7328
2199,220000,-2518.2855
2239,224000,-2546.3083
2279,228000,-2493.9055
2319,232000,-2498.5883
2359,236000,-2467.7008
2399,240000,-2403.0415
2439,244000,-2435.2705
2479,248000,-2363.3808
2519,252000,-2390.447
2559,256000,-2293.8372
2599,260000,-2293.9202
2639,264000,-2251.399
2679,268000,-2245.8517
2719,272000,-2203.009
2759,276000,-2167.8437
2799,280000,-2176.5342
2839,284000,-2154.4222
2879,288000,-2092.446
2919,292000,-2098.3325
2959,296000,-2065.219
2999,300000,-2050.5605
3039,304000,-2057.259
3079,308000,-1978.571
3119,312000,-2009.3992
3159,316000,-2085.623
3199,320000,-1965.2982
3239,324000,-1958.5452
3279,328000,-1959.6268
3319,332000,-1975.2048
3359,336000,-1911.843
3399,340000,-1905.9547
3439,344000,-1868.9063
3479,348000,-1888.4988
3519,352000,-1852.326
3559,356000,-1854.265
3599,360000,-1956.0553
3639,364000,-1866.2512
3679,368000,-1855.8748
3719,372000,-1781.563
3759,376000,-1848.0188
3799,380000,-1881.2828
3839,384000,-1751.7025
3879,388000,-1772.7928
3919,392000,-1796.2948
3959,396000,-1790.329
3999,400000,-1711.1453
4039,404000,-1743.9465
4079,408000,-1716.5747
4119,412000,-1712.7135
4159,416000,-1676.8628
4199,420000,-1766.16
4239,424000,-1983.073
4279,428000,-1732.9915
4319,432000,-1775.7345
4359,436000,-1811.4445
4399,440000,-1883.4692
4439,444000,-1680.9695
4479,448000,-1599.2125
4519,452000,-1675.2793
4559,456000,-1675.4728
4599,460000,-1717.404
4639,464000,-1593.735
4679,468000,-1607.189
4719,472000,-1575.3813
4759,476000,-1646.0998
4799,480000,-1643.9475
4839,484000,-1544.6212
4879,488000,-1508.6818
4919,492000,-1581.6445
4959,496000,-1714.5855
4999,500000,-1516.8935
5039,504000,-1615.2365
5079,508000,-1550.482
5119,512000,-1485.4873
5159,516000,-1564.134
5199,520000,-1564.7728
5239,524000,-1563.2165
5279,528000,-1550.5678
5319,532000,-1506.1
5359,536000,-1476.287
5399,540000,-1556.9955
5439,544000,-1414.9583
5479,548000,-1407.3535
5519,552000,-1484.9658
5559,556000,-1415.0068
5599,560000,-1467.6768
5639,564000,-1409.96
5679,568000,-1394.6843
5719,572000,-1384.8645
5759,576000,-1417.9438
5799,580000,-1427.0782
5839,584000,-1352.819
5879,588000,-1387.1308
5919,592000,-1352.7112
5959,596000,-1379.6565
5999,600000,-1347.8322
6039,604000,-1311.5128
6079,608000,-1327.1058
6119,612000,-1318.9198
6159,616000,-1300.424
6199,620000,-1285.957
6239,624000,-1304.1212
6279,628000,-1333.4128
6319,632000,-1290.781
6359,636000,-1288.7137
6399,640000,-1294.5418
6439,644000,-1278.5233
6479,648000,-1315.072
6519,652000,-1304.709
6559,656000,-1339.1465
6599,660000,-1311.3102
6639,664000,-1286.2685
6679,668000,-1296.8855
6719,672000,-1264.3945
6759,676000,-1273.5643
6799,680000,-1298.656
6839,684000,-1257.578
6879,688000,-1297.806
6919,692000,-1270.6128
6959,696000,-1264.38
6999,700000,-1280.0125
7039,704000,-1271.082
7079,708000,-1249.6482
7119,712000,-1279.952
7159,716000,-1217.4462
7199,720000,-1212.3142
7239,724000,-1217.4312
7279,728000,-1254.6653
7319,732000,-1237.5658
7359,736000,-1217.1908
7399,740000,-1266.2937
7439,744000,-1201.3995
7479,748000,-1201.0013
7519,752000,-1214.8383
7559,756000,-1222.5225
7599,760000,-1215.3672
7639,764000,-1192.4322
7679,768000,-1203.9182
7719,772000,-1211.5348
7759,776000,-1228.534
7799,780000,-1198.6493
7839,784000,-1205.374
7879,788000,-1166.8105
7919,792000,-1141.319
7959,796000,-1161.894
7999,800000,-1163.519
8039,804000,-1180.562
8079,808000,-1132.6612
8119,812000,-1171.7438
8159,816000,-1144.6878
8199,820000,-1119.5065
8239,824000,-1126.897
8279,828000,-1130.877
8319,832000,-1126.8125
8359,836000,-1123.1812
8399,840000,-1120.4725
8439,844000,-1149.7612
8479,848000,-1130.7165
8519,852000,-1155.4962
8559,856000,-1119.3755
8599,860000,-1123.059
8639,864000,-1130.7395
8679,868000,-1123.1215
8719,872000,-1110.239
8759,876000,-1104.6583
8799,880000,-1128.5015
8839,884000,-1114.017
8879,888000,-1110.5615
8919,892000,-1100.6788
8959,896000,-1123.4167
8999,900000,-1108.6248
9039,904000,-1108.671
9079,908000,-1104.0802
9119,912000,-1105.1215
9159,916000,-1089.9793
9199,920000,-1118.9615
9239,924000,-1082.6403
9279,928000,-1103.1273
9319,932000,-1131.7433
9359,936000,-1090.3562
9399,940000,-1144.719
9439,944000,-1091.0015
9479,948000,-1113.3425
9519,952000,-1087.2475
9559,956000,-1092.27
9599,960000,-1185.861
9639,964000,-1092.7702
9679,968000,-1089.6578
9719,972000,-1074.8392
9759,976000,-1084.8033
9799,980000,-1128.6028
9839,984000,-1070.7615
9879,988000,-1051.8702
9919,992000,-1065.7605
9959,996000,-1055.9865
9999,1000000,-1095.3212
