episode,timestep,reward
39,4000,-6995.9585
79,8000,-8136.1002
119,12000,-6877.6362
159,16000,-6465.3315
199,20000,-7249.8163
239,24000,-8419.272
279,28000,-7444.1195
319,32000,-7143.887
359,36000,-9116.968
399,40000,-9014.8025
439,44000,-8935.2778
479,48000,-8464.0525
519,52000,-8123.5045
559,56000,-8099.8075
599,60000,-8256.3923
639,64000,-8430.8198
679,68000,-7816.1922
719,72000,-7814.532
759,76000,-8587.834
799,80000,-7937.773
839,84000,-6889.0193
879,88000,-6952.2985
919,92000,-6616.0055
959,96000,-7820.474
999,100000,-8359.475
1039,104000,-8059.459
1079,108000,-7789.8095
1119,112000,-8457.2163
1159,116000,-8232.146
1199,120000,-8016.9368
1239,124000,-8084.663
1279,128000,-7372.3055
1319,132000,-7445.0325
1359,136000,-7486.133
1399,140000,-6702.8748
1439,144000,-6958.4815
1479,148000,-6957.9872
1519,152000,-7311.9448
1559,156000,-7522.4178
1599,160000,-6710.418
1639,164000,-6688.7015
1679,168000,-7301.0917
1719,172000,-7797.6515
1759,176000,-8207.9055
1799,180000,-6517.198
1839,184000,-6937.3238
1879,188000,-7493.512
1919,192000,-6809.8165
1959,196000,-6935.269
1999,200000,-7082.782
2039,204000,-7103.9843
2079,208000,-6967.6185
2119,212000,-7003.0148
2159,216000,-7037.606
2199,220000,-7021.4688
2239,224000,-7417.136
2279,228000,-7395.504
2319,232000,-7431.7763
2359,236000,-7269.8378
2399,240000,-6945.905
2439,244000,-6850.4755
2479,248000,-6923.1688
2519,252000,-6698.0123
2559,256000,-6695.1158
2599,260000,-6581.8702
2639,264000,-6634.6372
2679,268000,-6470.4617
2719,272000,-6340.0507
2759,276000,-6286.7105
2799,280000,-6171.893
2839,284000,-6016.685
2879,288000,-5960.5
2919,292000,-5893.9102
2959,296000,-5788.2888
2999,300000,-5739.1398
3039,304000,-5642.8475
3079,308000,-5595.5808
3119,312000,-5497.9035
3159,316000,-5421.1698
3199,320000,-5350.622
3239,324000,-5307.7595
3279,328000,-5207.6778
3319,332000,-5235.2198
3359,336000,-5119.392
3399,340000,-5083.852
3439,344000,-5072.2213
3479,348000,-5047.1075
3519,352000,-4976.7775
3559,356000,-4992.3175
3599,360000,-4943.265
3639,364000,-4897.939
3679,368000,-4915.3903
3719,372000,-4826.4943
3759,376000,-4878.0025
3799,380000,-4864.4968
3839,384000,-4845.8738
3879,388000,-4841.768
3919,392000,-4793.8178
3959,396000,-4784.0662
3999,400000,-4799.3122
4039,404000,-4730.7243
