episode,timestep,reward
39,4000,-6347.1551
79,8000,-8073.5313
119,12000,-8021.1673
159,16000,-7173.6812
199,20000,-8375.3247
239,24000,-8993.9953
279,28000,-8737.423
319,32000,-8126.1468
359,36000,-8184.7312
399,40000,-8506.912
439,44000,-8771.5038
479,48000,-7466.3595
519,52000,-8039.577
559,56000,-8611.7492
599,60000,-7379.7425
639,64000,-5945.887
679,68000,-6491.6328
719,72000,-6504.8385
759,76000,-6692.1433
799,80000,-7368.6525
839,84000,-7491.4745
879,88000,-7581.6617
919,92000,-7615.0625
959,96000,-7338.0545
999,100000,-6694.5352
1039,104000,-7893.6715
1079,108000,-8024.3072
1119,112000,-7745.666
1159,116000,-7841.742
1199,120000,-8021.1298
1239,124000,-8053.125
1279,128000,-8638.4683
1319,132000,-8003.598
1359,136000,-7981.6295
1399,140000,-7849.0552
1439,144000,-6964.8088
1479,148000,-6278.4925
1519,152000,-6361.2618
1559,156000,-6633.8817
1599,160000,-6875.0443
1639,164000,-6820.8582
1679,168000,-6773.7555
1719,172000,-6798.2498
1759,176000,-6864.486
1799,180000,-6800.552
1839,184000,-6740.7718
1879,188000,-6696.0397
1919,192000,-6562.6997
1959,196000,-6520.979
1999,200000,-6486.208
2039,204000,-6452.7845
2079,208000,-6440.955
2119,212000,-6331.7668
2159,216000,-6327.842
2199,220000,-6240.1078
2239,224000,-6210.841
2279,228000,-6188.2283
2319,232000,-6234.3423
2359,236000,-6138.9645
2399,240000,-6128.4773
2439,244000,-6120.973
2479,248000,-6042.9968
2519,252000,-6049.1493
2559,256000,-6027.82
2599,260000,-5973.916
2639,264000,-5954.221
2679,268000,-5916.9117
2719,272000,-5870.0937
2759,276000,-5887.3507
2799,280000,-5851.9373
2839,284000,-5817.3388
2879,288000,-5827.547
2919,292000,-5735.7565
2959,296000,-5821.3928
2999,300000,-5698.2162
3039,304000,-5738.1193
3079,308000,-5721.7352
3119,312000,-5696.7075
3159,316000,-5681.474
3199,320000,-5650.7483
3239,324000,-5659.1538
3279,328000,-5611.645
3319,332000,-5565.862
3359,336000,-5581.129
3399,340000,-5536.6602
3439,344000,-5603.3647
3479,348000,-5542.3975
3519,352000,-5539.1058
3559,356000,-5518.962
3599,360000,-5516.1735
