episode,timestep,reward
39,4000,-10794.7923
79,8000,-11348.9208
119,12000,-10791.086
159,16000,-11718.014
199,20000,-12549.0835
239,24000,-12756.2695
279,28000,-12077.091
319,32000,-11306.5425
359,36000,-12489.7462
399,40000,-10283.953
439,44000,-12101.9348
479,48000,-12143.0087
519,52000,-11664.3673
559,56000,-10960.6955
599,60000,-10718.7802
639,64000,-9404.6768
679,68000,-10392.6195
719,72000,-10500.2375
759,76000,-10708.4528
799,80000,-10399.583
839,84000,-10535.7462
879,88000,-9265.71
919,92000,-9305.0795
959,96000,-9965.3205
999,100000,-9917.476
1039,104000,-11831.964
1079,108000,-11761.2442
1119,112000,-11988.0217
1159,116000,-11852.673
1199,120000,-12024.4475
1239,124000,-12013.5813
1279,128000,-10578.678
1319,132000,-10506.263
1359,136000,-10524.0492
1399,140000,-10648.959
1439,144000,-10983.7137
1479,148000,-10133.051
1519,152000,-10020.7137
1559,156000,-9240.8418
1599,160000,-9525.1978
1639,164000,-10146.7068
1679,168000,-10242.1273
1719,172000,-11002.9292
1759,176000,-11139.8935
1799,180000,-12173.9698
1839,184000,-10700.5718
1879,188000,-9481.656
1919,192000,-9350.6545
1959,196000,-9301.605
1999,200000,-9208.4347
2039,204000,-9091.8272
2079,208000,-9212.351
2119,212000,-9127.772
2159,216000,-9034.3945
2199,220000,-8944.2738
2239,224000,-8927.0445
2279,228000,-8809.7905
2319,232000,-8781.8027
2359,236000,-8677.212
2399,240000,-8589.095
2439,244000,-8495.2428
2479,248000,-8402.559
2519,252000,-8346.346
2559,256000,-8244.508
2599,260000,-8152.4715
2639,264000,-8118.696
2679,268000,-8130.168
2719,272000,-7952.9518
2759,276000,-7970.8525
2799,280000,-7853.3575
2839,284000,-7859.622
2879,288000,-7803.2963
2919,292000,-7706.4938
2959,296000,-7625.185
2999,300000,-7598.0318
3039,304000,-7551.556
3079,308000,-7581.9402
3119,312000,-7460.5465
3159,316000,-7426.5435
3199,320000,-7374.1458
