episode,timestep,reward
39,4000,-9059.221
79,8000,-8488.0895
119,12000,-8476.1257
159,16000,-9184.896
199,20000,-7892.235
239,24000,-7714.3785
279,28000,-7761.137
319,32000,-7826.694
359,36000,-8107.753
399,40000,-8086.649
439,44000,-8284.527
479,48000,-8458.219
519,52000,-8569.2292
559,56000,-8898.2443
599,60000,-9176.6773
639,64000,-9065.0148
679,68000,-8178.7338
719,72000,-6925.8658
759,76000,-6726.1672
799,80000,-7666.3922
839,84000,-7660.0
879,88000,-7595.1767
919,92000,-7525.5528
959,96000,-8216.9798
999,100000,-8528.7922
1039,104000,-8712.7135
1079,108000,-8744.728
1119,112000,-8402.9438
1159,116000,-8268.6308
1199,120000,-8142.0845
1239,124000,-8399.2855
1279,128000,-8418.6333
1319,132000,-8675.3838
1359,136000,-9472.971
1399,140000,-9250.9588
1439,144000,-8030.25
1479,148000,-7653.9998
1519,152000,-8621.5445
1559,156000,-9485.0442
1599,160000,-10150.4952
1639,164000,-9995.995
1679,168000,-7479.0172
1719,172000,-6968.5315
1759,176000,-7663.173
1799,180000,-7896.1798
1839,184000,-8103.4618
1879,188000,-7893.199
1919,192000,-7728.369
1959,196000,-6953.124
1999,200000,-6478.3628
2039,204000,-6397.0657
2079,208000,-6893.32
2119,212000,-6996.2187
2159,216000,-7040.3585
2199,220000,-6940.6512
2239,224000,-7122.8718
2279,228000,-6796.5355
2319,232000,-6750.2312
2359,236000,-6791.8335
2399,240000,-6642.0332
2439,244000,-6555.0875
2479,248000,-6555.9933
2519,252000,-6421.2408
2559,256000,-6311.558
2599,260000,-6160.7022
2639,264000,-6100.1388
2679,268000,-6019.8578
2719,272000,-5915.322
2759,276000,-5762.7305
2799,280000,-5701.655
2839,284000,-5621.7152
2879,288000,-5558.458
2919,292000,-5457.457
2959,296000,-5448.7762
2999,300000,-5381.793
3039,304000,-5288.3298
3079,308000,-5237.1448
3119,312000,-5165.2782
3159,316000,-5125.0132
3199,320000,-5034.057
3239,324000,-4986.7785
3279,328000,-4910.5372
3319,332000,-4864.2815
3359,336000,-4820.351
3399,340000,-4758.0775
3439,344000,-4779.5475
3479,348000,-4648.1417
3519,352000,-4684.2555
3559,356000,-4670.0522
3599,360000,-4609.5898
3639,364000,-4605.507
3679,368000,-4577.309
3719,372000,-4562.5787
3759,376000,-4563.4482
3799,380000,-4480.7288
3839,384000,-4405.8422
3879,388000,-4410.4548
3919,392000,-4377.4397
3959,396000,-4352.9165
3999,400000,-4382.9575
4039,404000,-4269.263
4079,408000,-4249.715
